"","FLAGS_0","FLAGS_3","FLAGS_12","FLAGS_36","LILAC_0","LILAC_3","LILAC_12","LILAC_36","SCOPE_0","SCOPE_3","SCOPE_12","XEROX_0","XEROX_3","XEROX_12","HUMOR_0","HUMOR_3","HUMOR_12","IMAGE_0","IMAGE_3","IMAGE_12","IMAGE_36","REMIX_0","REMIX_3","REMIX_12","REMIX_36","BLUSH_0","BLUSH_3","BLUSH_12","BLUSH_36","VIDEO_0","VIDEO_3","VIDEO_12","VIDEO_36","KAYAK_0","KAYAK_3","KAYAK_12","KAYAK_36","LAKES_0","LAKES_3","LAKES_12","RELIC_0","RELIC_3","RELIC_12","RELIC_36","VISTA_0","VISTA_3","VISTA_12","VISTA_36","SHAWL_0","SHAWL_3","SHAWL_12","QUART_0","QUART_12","QUART_36","VENUE_0","VENUE_3","VENUE_12","VENUE_36","MAGIC_0","MAGIC_3","MAGIC_12","MAGIC_36","PATCH_0","PATCH_3","PATCH_12","FENCE_0","FENCE_3","FENCE_12","FENCE_36","RADIO_0","RADIO_3","RADIO_12","TANGO_0","TANGO_3","TANGO_12","INTRO_0","INTRO_3","INTRO_12","INTRO_36","POETS_0","POETS_3","POETS_12","POETS_36","IVORY_0","IVORY_3","IVORY_12","IVORY_36","WALTZ_0","WALTZ_3","WALTZ_12","WALTZ_36","DAISY_0","DAISY_3","DAISY_12","JUROR_0","JUROR_3","JUROR_12","JUROR_36","ELBOW_0","ELBOW_3","ELBOW_12","ELBOW_36","LASSO_0","LASSO_3","RODEO_0","RODEO_3","RODEO_12","RODEO_36","TOPAZ_0","TOPAZ_3","FOGGY_0","FOGGY_3","FOGGY_12","FOGGY_36","NURSE_0","NURSE_3","NURSE_12","GLASS_0","GLASS_12","HUMAN_0","HUMAN_3","HUMAN_12","HUMAN_36","ORBIT_0","ORBIT_3","FILMS_0","FILMS_3","FILMS_12","EAGLE_0","EAGLE_3","EAGLE_12"
"C48762",19.2585637336728,20.0314696793321,20.5596506248258,16.0583511675373,NA,17.2820839207031,17.9577368908755,19.480056488932,15.7181582404399,14.7130105403519,NA,18.1723933239315,17.3755570601282,17.9381323047417,19.5365830312707,16.9224218023402,14.2991364543584,15.7613174819535,16.3720658348763,14.6851320318511,15.8636781321425,22.2971510947311,21.9415803175779,19.6262544586803,16.9982157810352,17.5556900570192,18.2897217358176,15.5580320038386,NA,NA,NA,15.0067205389156,17.4827213142892,NA,NA,NA,17.8512915397027,17.3976161459325,14.8847429035797,NA,17.6309922724772,16.6979177841173,16.6706147599758,15.0539682931561,20.4114427145877,19.6209929816667,16.8296484185236,22.6906229633929,16.5602432601337,20.1783572710989,NA,NA,13.5868397879618,NA,15.0487422860565,NA,14.8956226141187,16.4324114047036,18.8239611496556,19.9146230894687,16.1252520139289,19.966833520026,22.7941294604698,19.6491158088581,15.1647891059588,22.783287432492,20.8785778371288,22.4965361346224,22.6622795986358,21.8796677501381,17.5361333621553,20.6391269314263,16.9772351963978,15.9306218508197,15.855233490027,17.4739197411218,14.4279020600063,17.885011130647,20.0501701639903,20.7889843152625,16.4917904779985,18.4671597332696,NA,20.524136114295,18.4495355824948,17.972873239821,17.6182349268723,16.4262156068228,19.3092676155002,18.9908740024889,16.0495720631187,21.2692950729492,NA,NA,17.4345956519655,19.0133008618334,19.9638161436935,19.0657001183767,22.1280084852689,18.3128608028835,18.1845654524462,18.1781444798254,17.0111289579902,16.8879464458994,21.7863773241118,21.3269385259604,20.8491148955487,21.4583745700804,15.7194957783533,14.8012536564782,19.42010620055,22.4776629217078,20.5551358138157,19.0189309276089,16.6484418491188,16.206327595036,18.0942736010469,17.0716404258567,18.433361306595,16.985452844179,16.0876492988607,15.5304673016257,17.2200381719395,18.4881539566306,16.3064889647286,16.2046666585027,17.266759094683,20.2864787988936,20.7456144227138,21.0238443511116,20.046653764342
"C52603",23.9755620884645,23.7477476930172,24.8448266136819,24.3408310489659,23.3452457776001,22.9401581815758,24.7155969498569,23.8037510734077,23.2930284284755,22.669258575172,22.5060365795714,22.4883270754552,22.0351981353167,23.0361551627919,23.3539587506057,23.0295669539048,23.2682001617495,24.3030279034539,20.8819548613676,22.7738607762998,24.702907911497,24.1442907292641,22.8760990926298,24.3327214258939,24.560049163882,23.2108596282642,22.2414990925598,23.7562568022378,24.2503454087882,23.8604144058522,21.8223560985719,24.4217998063304,24.7540891799108,22.7098736726714,21.4326209057108,22.9171136277627,24.0182197087456,23.1922472057148,22.9388554026354,23.4345261717091,23.7825680640195,22.5455475769267,24.5009956183953,24.1700182512437,23.9451920625077,22.2299092810842,24.2812215928499,24.6872141955189,23.3876671251942,22.4229424830907,24.1883683515213,25.1551149941788,24.5330143155328,24.663025006265,23.3419370837981,21.1908494940313,22.4893878940167,23.7312894027637,22.9693807241858,23.0014375744352,24.5097231849528,23.5347318721249,24.8988802400962,23.8540513123432,23.1245504772352,24.3649500367398,22.7963070180349,24.5323573522448,24.1971671893839,23.9440664471328,23.6937157975765,23.8255206499108,24.3943629913148,23.7488194406768,24.1627991215215,23.5545489218764,24.192333153687,23.7574833010267,24.9890009918374,23.0240395526345,24.3333448270191,24.1176256646268,22.6307390454838,23.6738598406431,23.4057890034419,24.558494985965,24.3115235525721,24.0958155056109,23.4968680367622,24.1826001543003,23.8280512357974,23.5471736664754,23.288393413168,23.8348561071183,24.5904218942889,24.8534101727154,24.8206284215614,24.2494155724084,23.8792132211084,23.6170962520497,23.527261982827,24.2697783110892,23.4150669510072,23.0463954841334,23.0705666392976,20.8520920725168,22.2320267846038,22.8153803638977,25.2538010407546,25.1745679332776,24.048038962295,24.0561974550387,24.2268249196718,24.4691650733998,23.2801440553301,22.9967367249496,23.2152395515903,23.9981427683051,23.9151551579632,23.9065482407226,23.8952324507053,24.1499701855576,23.5591377054646,24.5484349548464,23.6258451548631,23.5379994264156,22.8281700009341,23.8874299055339,24.5617077047846,23.9455120640846,24.4364174868594
"C19130",23.9885621324175,24.7968895013818,24.1378313792355,23.8422409897775,23.9387604819303,24.3958392563402,24.4949388164492,24.55219708709,23.7830595763348,24.127997153846,23.705412601921,23.7532892933439,24.2481582051987,23.6489322123585,23.931620595576,24.1316613739539,24.0938127709342,23.7715736936759,23.6263889363859,24.3219864302231,24.1671084648629,24.2248610599508,23.7139524949907,24.1859946610278,24.1297339144695,23.8524716937988,23.9761166553736,24.5397125998989,24.7040531749218,23.8931213353194,24.3671627622895,24.3167553631142,24.705387499534,24.2660248630257,23.8301292795607,24.2343698517063,24.6291031058026,23.88391965669,24.4348028003414,24.3488429454458,24.0383548910208,23.9313974194734,24.0659147124925,23.989524432681,25.1324893747802,25.5928782031804,24.7232616990311,24.7455555447087,24.7643408345202,24.5766893905074,24.4173493286095,24.667196670341,24.6519779438888,24.7559680147656,24.289123951956,24.5761886081432,24.5741013740844,24.7309325726956,24.1818453063697,24.2680165007442,24.8622753498095,24.4317504616019,24.7393633432613,24.7149889725039,24.4291713552624,24.4404250227246,24.7746368755913,24.485150375427,24.3222904512196,24.446541673916,24.0464501081748,24.0749567632183,23.6618598453919,24.1387450480987,23.8834852036893,23.9092921334803,24.3969538239303,24.3046436252897,24.4082369527005,24.2482130849993,24.6113051501705,24.5415390687828,24.5961146684315,23.9112190675881,24.2574157553193,24.5082574600936,24.489665715251,23.8621957848464,23.9456132387619,24.1628762419314,24.1049189475386,24.5133108700395,23.9851895390369,24.09702086233,25.1571405847974,24.9650886576672,24.9257101690535,24.8527386549116,23.8449676555347,24.1391965902975,23.6977278886411,23.5787925765672,24.1414963086646,24.1965919215481,24.3107539402801,23.1530146330666,23.8021938876124,23.6787811806653,24.2613305425208,24.7761700479842,23.7480373112948,24.0580815923498,24.3536765399913,23.9543977934098,24.6497681880174,24.7385216448532,24.7064010566348,24.1837831671872,24.0431277714324,24.4200727811654,24.4892183330772,25.1046430603635,25.0293871597454,24.525262236028,24.3811418287904,24.2102530770836,24.0582523952212,24.516179370264,24.3255702138359,23.8789906721632,24.346651963609
"C34404",19.591657476028,14.9742353173554,17.008253527096,18.9299027378773,NA,NA,NA,16.1990012926633,17.2610848697388,NA,17.8003058991943,16.5775320931685,14.9884184168079,14.4426195785971,17.2284805192147,NA,16.1295446427125,18.118809300775,NA,NA,16.1790732352281,17.2730944019933,18.3219589138492,19.2688891819439,20.3644403435734,17.579662131063,17.0350997792022,18.0981709077068,17.8010767890421,NA,NA,14.1439411777685,15.8046100245302,15.7800783429449,NA,NA,NA,NA,NA,NA,NA,14.7568169014178,16.9208529290718,17.3662539032043,19.270215468609,NA,18.8116976731209,19.7429097103509,14.8925902479783,16.837751108842,16.7183990887977,17.2778503889059,18.161382875912,NA,17.5363458814826,15.8139815516147,14.7235009678764,14.4072013647491,14.7644569636199,15.9951267333501,17.3065957637842,18.213521957321,17.9513644070942,15.2419831496943,16.8004323028112,18.0182056132557,NA,17.1985697370975,18.0684319190796,18.6721905092143,16.2936153364077,16.5967138960379,19.9358139391253,19.2560681390903,NA,19.491447985918,19.5507373928068,NA,17.1779353058145,18.4917278569493,16.4566271408378,19.921804625229,NA,18.6750163234967,17.9615853476594,19.4360648973309,19.1046499381923,18.1312792284915,18.0323578809282,16.9994715725327,16.3259905163348,17.7939080718143,13.5012151995334,16.0097411574523,18.3792302787935,17.7420198994897,20.1360611505762,15.3273070282017,NA,NA,NA,NA,18.1988430706111,20.033878665216,15.9693415488508,14.5809062684861,14.8701238649708,13.6667787788304,15.9023986692676,NA,18.188004409584,18.0802606321025,18.6621502728753,19.6503400653985,14.9511936328595,NA,16.3043691484491,16.7148626101119,18.6857548581814,NA,16.2983848176519,NA,14.4628856452132,18.5950461792303,18.9135965268031,16.0332724261512,17.5621678782806,17.39722338598,17.265303708368,15.8461514612322,14.8477425026758
"C32391",18.3299583450663,15.3671075588314,16.8036266352603,18.3745216167774,15.4721196382425,14.6107365062285,14.8382683318479,17.7342862320963,17.4697848841866,14.0478907366038,19.6622424322514,18.4629854651148,16.4873847243858,16.8928629478664,16.7647809012362,NA,16.3785827429416,19.2161608760438,14.255102355526,NA,17.3084456923321,17.4093909361377,18.3063955090692,18.5286563193135,19.1310706857317,18.1025755068505,18.1092848483829,18.7732229321274,19.3932626572938,15.0991834100793,NA,16.6551253833977,16.1759393312672,17.546984866587,NA,NA,NA,NA,NA,NA,NA,17.1052844767552,18.5710748880523,18.2644838352044,19.1320503235938,14.7814109446832,18.220576714855,19.3870181052538,15.3979419719726,16.4971501483909,17.5867958169861,17.2282174422934,17.2743508512803,NA,18.8432064685218,16.8495639255005,17.5373321684788,17.0756358284916,17.673371192715,18.3426433187063,19.5562440873797,20.1649793325509,18.6939394983264,17.5121154434812,18.1036566321544,17.0141839676509,NA,17.6405273911523,18.5462049224488,18.8216338653668,18.1135692243346,17.7945554785193,19.6822007980619,18.5725337042459,NA,19.2467684279902,19.5888664940776,NA,16.6642944956751,19.534984836684,19.2513876344852,20.7846588059347,18.0479067077807,18.900418725757,18.3169532186395,19.3822356083522,18.9400898794726,18.4691926538088,18.8198547584789,17.3998536724717,17.7922183686914,17.5264686732399,15.00013207663,16.6588530090694,18.2378401430779,16.1973702938598,19.2980424247081,NA,15.0179393014958,NA,NA,NA,18.6006425165416,19.8409914678564,18.0502897544156,17.5338087866781,17.871766898975,17.074685047587,16.0704983443938,13.893206713402,18.1473341287818,18.4621227931308,NA,18.5304139578058,14.7343391624081,15.4799065448328,16.1743600688799,18.1264171230589,19.050231289224,NA,17.8500341879802,NA,17.1062562124665,18.769456927227,19.3922000111782,16.0066328903712,18.4321340621755,18.073409390356,18.3855548988834,17.179432906528,16.407018750377
"C20675",24.6922234302345,24.5160837652468,24.7291257245741,24.050368479368,24.3383645312731,24.6055698310739,25.6197351612442,25.326327712665,20.9056389363482,23.7388158004827,23.1475819441486,24.1434383349731,22.5149841528219,23.6613393861386,24.0043710181372,24.5316639231987,23.9416080762212,25.9271220102933,25.2106885831655,24.551047315546,25.304693195448,24.8658183977247,24.9184782176632,24.9825504467095,25.1970471733001,24.141134850665,24.1670234517817,23.7387004747119,25.6571421104772,23.5790084600868,24.3380500013739,25.7010175699427,25.2867775654037,25.9051616618126,25.1248558642706,24.906941501575,23.9336178140645,22.0550341384291,23.845462294173,23.9707092448638,22.4718743788388,23.70547957464,24.9108266967562,25.0871303301208,21.7500281428728,23.2261388873319,24.9488901200424,25.0401079129657,24.149410982648,24.4180997946871,24.2007070705745,20.4251021636245,25.0775004706632,25.3169207738502,21.748996998691,23.0140342661184,23.8218078414415,24.2975040544959,23.5094029265001,24.6005795694481,24.9543617593054,24.2572557539702,22.1830831709758,22.9659882059011,23.066381418422,23.7249307536337,24.2747105701168,24.4970631444673,23.9999929486941,21.3480116506598,24.0301781201838,23.7643828526669,24.0240405674781,24.8135346158185,24.9759276263953,26.0697128024765,25.0783879912908,21.5088944260476,25.1188026485065,21.9020997894587,23.8796482145051,23.3099400778904,23.9787754735605,23.7554823630435,25.2539057545189,25.7908445232489,24.4156477796056,24.4143731063252,24.8301325686014,24.6171185656616,25.3584730677396,21.3123883219491,24.4946620089051,23.133205566784,25.6240552461117,25.9115933210096,25.9757047292358,25.7229315324552,24.6860679877624,25.2181028964768,25.3034886877215,22.306044161763,21.2212920990842,22.8223364520756,24.4482272367253,25.12164006484,25.5190133743758,25.2628557334598,23.7350975480075,21.6514805128139,23.3907657965549,24.6954425182573,21.6346643949504,24.1625738817429,23.6631357904382,22.7849904166203,22.3552653241579,24.5691221313349,23.4736428340428,24.3563431565913,25.4854205375053,24.7128938676039,24.216475303829,21.6229338888447,24.6672578599482,23.0028589566728,24.9645247229182,21.9677170320489,21.2949712441998,22.3299837938127,19.6903731696155
"C34400",20.7674538478962,17.8874110325532,19.6466518708889,20.8258663837941,17.9696282244684,16.0806093675317,16.913672485337,19.6915833713514,21.1169949462379,16.3726100363293,21.6832173823456,20.2370185175418,18.7739472760323,18.4513358931163,19.708575380884,NA,18.978615506559,21.2011930396825,16.7198567010853,14.4247567909237,19.173228175951,19.3527266848691,20.5961442489062,20.5327801446929,21.3699045414022,20.303283541214,20.0866895619176,21.1113961497416,20.7064985474699,16.0180045252478,NA,18.6292676727748,19.1967846033039,19.5016661656558,NA,NA,15.9391429975688,15.7485597675084,NA,NA,15.7776662808808,18.8945187889081,20.6852680841797,20.4991432210254,20.8001004696928,17.0923855198194,21.3043574496457,21.9095404540754,17.913210829465,19.4277425044678,19.7828254866149,19.8768691240453,20.1259607746552,15.9797154558085,20.590742365756,19.1724055328509,19.1171966539027,18.7528902042595,19.623124173515,20.2697168274169,21.4217936438946,22.0867329646171,20.789795498119,19.198188422272,19.5421306854562,19.4241498825312,16.8476691086037,20.4914264551281,20.8883047643865,20.9132159435512,19.8664005610827,20.1148568881767,21.5513332306618,20.2218183764712,NA,20.8145519567591,21.9052566151151,16.9570680238926,19.9067408941426,21.7692212251889,20.2307440511364,22.6327838050149,18.815655351677,21.4069367739089,21.0882272937802,22.0575865792969,21.3925632223741,20.7348295024937,21.1521146026864,19.675064579931,19.604696191383,20.8613459352142,17.2247365558037,18.7435163091905,20.1762194210632,20.2998888173029,21.960180153104,18.837877352991,17.1177546916773,16.5049896335692,15.7986742988268,17.4519113574257,20.6411009575381,21.5126440268717,19.7050079572844,18.8338721894895,19.1063968042183,18.4861475983638,18.2998072278095,16.9630766922986,20.8135494898147,20.9571431451763,20.8173248696899,20.935434856193,17.7833627770052,18.4175023116846,19.0900813980785,20.0727031114132,21.3370115114547,16.9976205506897,19.9895829852543,15.7112367677938,18.6529709792942,21.4744610177331,21.8063230503261,19.4687413621148,20.6408344981319,20.5232211807945,20.2872298977257,19.1447503399442,18.5723523581653
"C44621",16.8978218267659,17.5449493442833,18.1326804568294,17.3988605722184,16.546186078002,NA,16.6079370890934,16.6125661767856,NA,16.4894403264581,16.8493317914104,17.3812894569136,17.4066119352715,17.7625572258197,16.9502027434632,17.1265330781052,18.1657215899695,17.0119478986937,NA,16.9634605769702,17.1053151731563,NA,NA,18.0983457050535,17.4924165390398,17.5654368233344,16.5267895828612,17.0916936366959,17.970970906645,17.2525545653543,17.0865923869607,18.4493784018061,18.7873223148902,16.8791883496949,NA,18.8652046545583,17.7194155610383,18.4014378789893,NA,17.358436579922,17.2628472765741,16.2985638142949,17.1409894934458,16.6056675978619,16.6733780944558,17.4774025441387,17.1371712775531,17.3204920820326,17.2291192206586,17.32124110143,17.8045028928524,18.3527805558904,17.7971992118907,18.1246362949987,17.2344900189262,17.851364749727,17.2368924313071,17.9886347648971,17.1626175189348,16.6348252275297,17.9195675062858,17.85302927492,17.2468890162743,17.4123879107483,16.6824597264646,17.122787559963,NA,16.9300211706864,17.6488350305612,15.9703306199677,17.0337241051712,17.0666042866411,NA,NA,17.9328087538564,NA,18.0539788958675,16.4296519212957,18.3384883110018,18.0578595514258,17.8236346851038,17.9528606631095,18.7358898200604,NA,16.5816566491328,17.6717552768691,17.5463292896246,17.8019419697132,17.4337973181656,17.7586201199142,18.5472673510133,17.722267219676,18.076450285132,17.4021293815241,17.1082692019746,18.6490842240276,17.6471984098608,17.5967284527615,16.9346468794654,17.8876133231717,16.8491607213349,16.8685211581873,16.6299684289278,NA,18.1540615636093,16.8471797193486,17.3339676859982,16.549408666486,18.3183883429666,19.1023422669675,16.9569206047211,17.0170149814172,19.2942191167881,18.3092098740308,17.2792024803162,17.9153775779486,17.6752058930611,18.6618998478584,17.3294109515373,17.3001112090666,17.4522975543817,18.9224972976498,18.3698656797754,17.221115056813,17.3544646266784,17.1918785196355,17.2064039139738,17.1460216748122,17.7566931323117,16.8612929213231,16.6462633684412
"C52689",23.5112674246677,23.8643606381803,24.1843095307954,23.4094763988672,23.703866091463,23.9821857996414,24.0515962982271,24.18158602048,22.8597522064239,23.345558607433,23.5834444714066,23.4903362836382,23.5989640086876,23.5753110702503,23.5789513548422,23.6979481057037,23.9925898758013,22.8536377494701,22.7680457726873,23.8728131319209,22.4854323306046,22.9129614957766,23.0632615934307,23.1190728326374,23.3033622863598,22.9711044394047,22.6086124134314,23.5687243518378,23.927811502194,23.240870943435,23.1408629957934,23.9601673353615,24.2214014118376,23.040756931211,23.0312653829117,24.5190058132279,23.5859357088547,23.5755994877409,23.5203502343334,23.3802212551549,23.7328198488478,23.4531334574635,23.3547871646012,23.3238199014163,23.4304607190736,24.5202340400195,23.5207794366265,23.3512399939301,24.0931841289181,24.1337601125033,23.9310164525006,24.0070799791984,23.7499910221963,23.2344914807529,23.6427386678351,23.6867361408716,24.2007037783536,23.8427509481646,23.2613417345601,23.4719201356526,23.8343980385817,23.6285795912892,23.1725547785391,23.798510265991,23.1820590684586,23.4275932887304,23.0319104840795,23.4476708555033,22.8916600499968,23.3800604346505,23.8498874382626,24.1646968983997,22.6921465785507,23.1281032250717,23.4683324435072,22.9985510066811,23.9569039482426,23.4009840305071,23.8129086925839,24.3620403902487,23.6343526476987,23.8235930944333,23.5287584858506,23.3992828798421,23.3900854917075,23.8868309631265,23.5781283738745,23.4736449395297,23.02595667162,23.0558695708159,23.3484686924344,24.6091844882086,23.8921106750617,24.3341988014418,23.5503040937475,24.073128555093,24.1986575571291,23.8508474336652,23.75693536782,23.3853604386452,23.4725262454829,23.7217068914014,23.4798732492095,23.532524058551,23.8393163519831,22.6999815894629,23.0563218396455,23.0187684766608,23.9869837700493,24.1730103554493,23.8876421398395,23.8344466489622,24.0031021531345,23.9200034096654,24.1211404565805,23.5565379786839,23.8034161596178,23.5817601866502,23.4291842558835,23.5646499331251,23.5995847541832,23.713469270738,23.2697554868299,23.1641555012134,23.4030055202282,23.2786149242898,23.0968111675584,23.4830662532271,24.0554625069086,23.3933175237041,23.3278872832387
"C52673",23.1836515841295,23.1819690193544,23.5938606736635,23.0377207078308,22.7386635767635,22.8403100129029,23.0027925296222,23.0955372280584,22.6472544140161,22.1720126590428,22.5334343013948,23.2818580250709,23.1067616398057,23.342542817319,23.0804420045647,22.5232637821045,23.3252685304916,22.148165912,21.095189023866,22.9769795613888,22.3108587603391,22.2879791971021,21.8778446562443,22.4264288248204,22.518107314782,22.3852117780371,22.3796078738654,22.8909653928015,23.7625165737621,23.3646743760021,22.6853506505633,23.6599675926092,24.4146563353767,22.8298655514818,22.6488971135932,24.0608271839066,23.4472719394475,22.8594181963174,21.7850704629267,22.1877003246476,23.3088208917048,22.2724879786593,22.3663627723964,22.0569373194429,22.8117932988404,23.1570310743784,22.5650467449747,22.9165156782766,23.2685735527413,22.7397804037964,22.7819879700467,23.8111386845325,23.2373545477451,23.0667115204647,23.0145893951571,23.1010868337344,22.8586367048981,23.2848595335922,22.7934370119472,22.0469957354556,23.1349008310569,23.5694888585004,23.2682928402701,23.0117638481479,21.9232643672912,23.408179669937,21.7316376517688,22.8534424411145,22.4426499489291,22.4005524490157,22.7094012810156,23.0460170559341,21.7613945913362,21.6799383428686,22.879300361174,22.022779919847,23.3385952154951,21.923181293822,23.327283999569,23.2733632250577,22.665040056358,23.1981154153685,23.6906377748908,22.6622348249786,22.1586149268296,22.9372723354576,23.3029113599774,23.0635802320369,22.4146522066965,22.9346414808803,23.9966448476927,23.8756319085751,23.2030478823156,23.1644437192232,23.5198283057853,24.141462942307,23.7083042563234,23.4771015938713,24.1162757367407,23.2689564101801,22.4051721132645,22.529421021761,23.0460275506599,22.8376983755454,23.4668385951308,21.8589079328495,22.4995379045478,22.7513266630243,23.5058877371471,23.8382242750595,22.8543458536397,22.9440319419114,24.661505862195,23.9909517106232,23.8611003509076,23.4407073651786,23.349421759155,23.8510285058534,22.8196363083768,23.3477663852869,23.2138726982735,24.3312299593871,23.6010455396846,22.9122092150578,22.9064357559263,23.080312850189,22.3317982538582,23.167329628581,23.6930720391293,23.1256578283587,23.0462795677313
