"","BLUSH","DAISY","EAGLE","ELBOW","FENCE","FILMS","FLAGS","FOGGY","HUMAN","HUMOR","IMAGE","INTRO","IVORY","JUROR","KAYAK","LAKES","LASSO","LILAC","MAGIC","NURSE","ORBIT","PATCH","POETS","RADIO","RELIC","REMIX","RODEO","SCOPE","SHAWL","TANGO","TOPAZ","VENUE","VIDEO","VISTA","WALTZ","XEROX"
"A2M",-0.232048936,0.163572557,-0.07972575,-0.541147703,0.066892747,0.298140559,-0.105633739,0.286065946,0.255352688,0.141355481,0.105545376,-0.303367165,-0.047094573,-0.575324886,0.224518821,0.236550187,0.699746266,0.092013348,0.392725353,0.004335071,-0.407735087,0.231596782,-0.037794909,-0.213698219,-0.448316172,0.103852017,0.410822511,0.286821363,-0.007568621,-0.09910393,-0.679013892,-0.49173414,0.061465117,-0.02504887,-0.240109142,0.248881169
"ABL1",-0.006137686,0.294498128,-0.011046278,0.152372494,0.142984459,0.470257232,0.159079927,0.227437795,-0.10174163,-0.060290779,-0.017277991,-0.085163018,0.204453852,-0.025221645,-0.032475541,-0.058503719,-0.020711505,0.184818876,0.049763374,-0.15131919,-0.239873226,0.150249277,-0.016036963,0.100743363,-0.325575872,0.015025311,0.155109823,-0.133322045,-0.093887729,-0.067925288,-0.160464672,-0.124367112,-0.031357487,-0.145984139,0.165297604,-0.092373622
"ABL2",0.325379178,-0.218464251,-0.038841396,-0.016482976,-0.218572231,0.113227376,0.069585075,-0.232748965,-0.194088258,-0.059986008,-0.159188858,0.337154959,-0.076691141,-0.109757287,0.00856022,-0.503632728,-0.196084797,0.421556938,0.008183987,-0.697303855,-0.370210607,-0.344949462,0.04026387,0.485767729,0.075427538,0.091055954,0.369347719,0.066050733,0.255277105,-0.226186553,-0.336370779,-0.070659692,-0.022646568,1.152964817,0.276746175,0.082177715
"ACAN",0.63062972,0.196402327,-0.155086492,0.591902315,0.293125117,-0.222834248,0.26266817,-0.004879744,0.035298766,0.151054888,-0.566596126,0.59237006,0.252241196,0.483976671,-0.092214563,-0.372417865,-0.037662335,0.10727428,0.159659764,-0.329371078,0.132107892,-0.052598315,0.06714172,0.277783443,0.119690699,0.097659692,0.245579919,-0.073773834,0.21738683,0.065442475,0.474869125,0.022941278,0.300077631,-0.060868355,0.126443955,0.335820597
"ACE2",1.356608637,-0.180018475,-0.448080694,0.81163191,-0.402535524,-0.543142325,-0.183994276,-0.678107313,-0.150364884,-0.684041073,-0.37492854,1.362757384,0.180873152,0.471034336,-0.316609605,-0.973494848,-0.15195015,0.230533665,-0.073559967,-0.7002068,0.357254723,-1.000505411,0.25175656,1.121277953,0.654884731,0.193511544,0.377883425,-0.044096687,0.819033424,0.112007527,0.918697097,0.303034367,0.063193826,-0.042143573,0.166021806,0.783158713
"ACP1",1.853878711,0.080147674,-1.01399482,1.406941889,-0.932517134,-1.187749996,-0.201800191,-0.779510822,-0.478501405,-1.521441798,-1.90621161,2.053620421,0.438341691,1.004093873,-0.803676555,-1.965625956,-0.291491789,-0.061086672,0.146803872,-1.14541889,0.521724233,-1.980645597,0.722905833,2.20801342,1.91461376,0.897422003,0.785883348,-0.258270362,1.473436673,0.279249408,2.053988057,0.651283836,0.277432245,-1.450418218,0.039084576,1.264586116
"ACP5",-0.222784034,0.076751259,0.217232016,-0.632025165,0.22462814,0.364848413,0.196999505,-0.351252669,-0.097172552,0.118870207,0.075062001,0.119953339,0.065286407,-0.578115271,0.242535609,0.152014006,0.119175902,-0.030896834,0.433847527,-0.017774865,-0.672972727,0.55937311,-0.121387639,-0.211549092,-0.517576548,-0.212240134,0.018422113,0.420747134,-0.219456644,-0.425445709,-0.546129273,-0.457269708,-0.415218051,-0.296152755,0.005387527,-0.195828284
"ACVR1B",-0.192481819,-0.016198357,0.127311137,0.794326638,-0.085973223,0.821530746,0.206014993,0.000832484,0.042489873,0.007853108,0.251160306,-0.261780754,0.201221132,-0.166119019,-0.101803907,0.144982216,0.101242626,0.124677108,-0.964980919,0.108650255,-0.128500599,0.165561199,-0.109069576,-0.22961059,-0.206231897,-0.196545402,0.07812678,0.003430905,-0.110995996,-0.055398239,-0.186819191,-0.159813685,0.40048593,-0.05324489,0.048006865,-0.119103189
"ACVRL1",0.99643658,-0.081351639,-0.454645313,0.77996791,-0.277952026,-0.287025425,-0.00550705,-0.323622617,-0.144523225,-0.689860976,0.275565661,1.124518235,0.257765203,0.523713827,-0.473645282,-0.129004851,-0.087507771,0.204936878,-0.128149592,-0.419057271,0.219060595,-0.821275914,0.197570708,1.061345192,0.603596915,0.342139767,0.306349689,-0.069192629,0.656654738,0.150549679,0.787211829,0.285117096,0.27025739,-0.229019332,0.195317811,0.634415583
"ACY1",-0.337275591,-0.798661905,0.005073234,-1.247949683,-1.172577341,0.10188882,0.064869975,-0.429307838,-1.253715992,-0.191269027,0.63523948,1.136232965,-0.867346693,-2.431740984,-0.263918361,0.209503282,0.189032948,-0.831455779,-0.520601963,-0.173987154,-1.034965464,-2.423724204,-1.238017725,-0.873254012,-1.334538877,-0.711522935,0.515096613,-0.629160431,-1.136312225,0.292862818,-0.150140349,-1.121270251,-0.830366853,-0.993011525,-0.608349831,-1.649864795
