"","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p"
"6_min_walk_test_distance",0.000848,0.0339,0.0291,0.016,-2.27,0.0291,2.53,0.016
"BMI",0.00241,0.0483,0.00202,0.0491,-3.33,0.00202,2.04,0.0491
"mttins15",0.00904,0.0984,9.08e-05,0.0951,4.43,9.08e-05,-1.72,0.0951
"fat_mass",0.0128,0.0984,0.0407,0.113,-2.12,0.0407,1.63,0.113
"ALT",0.0128,0.0984,0.113,0.0922,-1.62,0.113,1.73,0.0922
"body_fat",0.0148,0.0984,0.0737,0.122,-1.84,0.0737,1.59,0.122
"AST",0.042,0.24,0.205,0.0983,-1.29,0.205,1.7,0.0983
"total_cholesterol",0.075,0.375,0.274,0.0498,-1.11,0.274,2.03,0.0498
"LDL_cholesterol",0.123,0.546,0.351,0.121,-0.946,0.351,1.59,0.121
"mttg120",0.155,0.622,0.394,0.00179,-0.863,0.394,3.39,0.00179
"6_min_walk_test_heart_rate",0.245,0.723,0.495,0.233,-0.689,0.495,1.21,0.233
"dins030",0.295,0.723,0.00135,0.543,3.49,0.00135,0.109,0.914
"mttins0",0.298,0.723,0.316,0.546,-1.02,0.316,0.61,0.546
"matsuda",0.317,0.723,0.563,0.0189,-0.161,0.873,-2.47,0.0189
"basal_metabolic_rate",0.363,0.723,0.602,0.549,0.526,0.602,0.123,0.903
"mttins30",0.365,0.723,0.00382,0.604,3.1,0.00382,0.265,0.792
"instauc",0.383,0.723,0.619,0.545,0.502,0.619,0.113,0.911
"white_blood_count",0.386,0.723,0.117,0.622,-1.61,0.117,-0.312,0.757
"mttg0",0.406,0.723,0.637,1.54e-05,0.353,0.726,5.05,1.54e-05
"dmcure",0.411,0.723,0.641,0.287,0.363,0.718,1.08,0.287
"fat_free_mass",0.416,0.723,0.645,0.443,-0.375,0.71,-0.777,0.443
"fasting_plasma_glucose",0.42,0.723,0.648,1.14e-05,0.383,0.704,5.12,1.14e-05
"hematocrit",0.43,0.723,0.000898,0.656,-3.63,0.000898,-0.405,0.688
"dinsg030",0.434,0.723,0.209,0.659,1.28,0.209,0.413,0.682
"HbA1c",0.458,0.732,0.677,0.000687,0.462,0.647,3.73,0.000687
"homair",0.498,0.766,0.706,0.135,-0.381,0.706,1.53,0.135
"homab",0.531,0.768,0.521,0.728,-0.65,0.521,-0.615,0.543
"DBP",0.55,0.768,0.447,0.742,0.769,0.447,0.656,0.516
"dg030",0.557,0.768,2.42e-07,0.746,6.4,2.42e-07,0.67,0.508
"SBP",0.577,0.769,0.759,0.331,-0.309,0.759,0.987,0.331
"Waist",0.612,0.789,0.23,0.782,-1.22,0.23,0.279,0.782
"mttg60",0.704,0.88,0.839,1.21e-05,1,0.322,5.13,1.21e-05
"insiauc",0.726,0.88,0.307,0.852,1.04,0.307,-0.188,0.852
"mttins60",0.774,0.91,0.88,0.262,-0.153,0.88,1.14,0.262
"triglycerides",0.843,0.95,0.136,0.918,1.52,0.136,1.42,0.163
"mttins120",0.855,0.95,5.47e-05,0.924,-4.6,5.47e-05,-1.47,0.151
"HDL_cholesterol",0.936,1,0.00346,0.968,-3.13,0.00346,0.0408,0.968
"odi",0.984,1,0.656,0.992,0.45,0.656,-0.0099,0.992
"mttg30",0.999,1,1,3.24e-05,3.79,0.000574,4.8,3.24e-05
"mttg15",1,1,1.92e-05,1,4.95,1.92e-05,4.16,0.000211
