"","nfeatures","z","p","FDR"
"Valine, Leucine and Isoleucine Degradation",15,4.11,2e-05,0.00072
"Beta-Alanine Metabolism",10,4.11,2e-05,0.00072
"Phospholipid Biosynthesis",4,3.72,1e-04,0.0018
"Methylhistidine Metabolism",3,3.72,1e-04,0.0018
"Histidine Metabolism",10,3.54,2e-04,0.00247
"Oxidation of Branched Chain Fatty Acids",3,3.51,0.00022,0.00247
"Retinol Metabolism",6,3.49,0.00024,0.00247
"Ammonia Recycling",12,3.34,0.00042,0.00378
"Methionine Metabolism",17,2.87,0.00206,0.0146
"Catecholamine Biosynthesis",3,2.86,0.0021,0.0146
"Betaine Metabolism",7,2.84,0.00226,0.0146
"Phenylacetate Metabolism",4,2.79,0.00262,0.0146
"Tryptophan Metabolism",15,2.79,0.00264,0.0146
"Caffeine Metabolism",9,2.72,0.00324,0.0167
"Phenylalanine and Tyrosine Metabolism",10,2.62,0.00438,0.0203
"Propanoate Metabolism",6,2.59,0.0048,0.0203
"Pyrimidine Metabolism",13,2.58,0.0049,0.0203
"Pantothenate and CoA Biosynthesis",3,2.56,0.00528,0.0203
"Glycine and Serine Metabolism",22,2.55,0.00536,0.0203
"Fatty Acid Biosynthesis",9,2.49,0.00634,0.0207
"Fatty acid Metabolism",3,2.49,0.0064,0.0207
"Arginine and Proline Metabolism",20,2.48,0.00656,0.0207
"Sulfate/Sulfite Metabolism",4,2.48,0.00662,0.0207
"Homocysteine Degradation",4,2.45,0.00722,0.0217
"Transfer of Acetyl Groups into Mitochondria",5,2.3,0.0107,0.03
"Glycerolipid Metabolism",8,2.3,0.0108,0.03
"Butyrate Metabolism",3,2.21,0.0136,0.036
"Glutamate Metabolism",14,2.2,0.014,0.036
"Glutathione Metabolism",4,2.15,0.0159,0.0381
"Tyrosine Metabolism",13,2.13,0.0164,0.0381
"Carnitine Synthesis",6,2.13,0.0164,0.0381
"Selenoamino Acid Metabolism",5,2.11,0.0176,0.0384
"Cysteine Metabolism",7,2.1,0.0178,0.0384
"Inositol Metabolism",3,2.09,0.0181,0.0384
"Warburg Effect",18,2.05,0.02,0.0393
"Galactose Metabolism",6,2.05,0.0202,0.0393
"Pyruvate Metabolism",6,2.04,0.0207,0.0393
"Amino Sugar Metabolism",8,2.04,0.0208,0.0393
"Sphingolipid Metabolism",10,2,0.0227,0.0418
"Starch and Sucrose Metabolism",6,1.92,0.0272,0.049
"Urea Cycle",14,1.88,0.0303,0.0531
"Thyroid hormone synthesis",5,1.79,0.0364,0.0616
"Mitochondrial Electron Transport Chain",8,1.79,0.0368,0.0616
"Bile Acid Biosynthesis",8,1.71,0.0433,0.0709
"Gluconeogenesis",10,1.68,0.0461,0.072
"Lysine Degradation",5,1.68,0.0462,0.072
"Taurine and Hypotaurine Metabolism",4,1.67,0.0473,0.072
"Androgen and Estrogen Metabolism",4,1.66,0.0489,0.072
"Citric Acid Cycle",9,1.65,0.049,0.072
"Alanine Metabolism",9,1.63,0.0513,0.0738
"Nicotinate and Nicotinamide Metabolism",12,1.59,0.0555,0.0784
"Glucose-Alanine Cycle",5,1.53,0.0627,0.0868
"Aspartate Metabolism",14,1.51,0.0656,0.0887
"Glycolysis",8,1.5,0.0666,0.0887
"Phosphatidylinositol Phosphate Metabolism",5,1.46,0.0725,0.0949
"Porphyrin Metabolism",4,1.44,0.0755,0.0961
"Alpha Linolenic Acid and Linoleic Acid Metabolism",9,1.43,0.0761,0.0961
"Steroidogenesis",3,1.41,0.0788,0.0977
"Pentose Phosphate Pathway",5,1.4,0.0801,0.0977
"Ethanol Degradation",3,1.35,0.0878,0.105
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",3,1.3,0.0964,0.112
"Fructose and Mannose Degradation",4,1.3,0.0964,0.112
"Purine Metabolism",20,1.28,0.101,0.115
"Steroid Biosynthesis",3,1.23,0.108,0.122
"Spermidine and Spermine Biosynthesis",4,1.19,0.117,0.129
"Riboflavin Metabolism",4,1.17,0.121,0.132
"Glycerol Phosphate Shuttle",3,1.16,0.123,0.132
"Arachidonic Acid Metabolism",5,0.972,0.165,0.175
"Lactose Synthesis",3,0.916,0.18,0.188
"Malate-Aspartate Shuttle",3,0.889,0.187,0.192
"Degradation of Superoxides",4,0.836,0.201,0.204
"Vitamin B6 Metabolism",4,0.293,0.385,0.385
