"","in_pwy","impact","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:422",TRUE,2.41,-0.0947,-0.486,-2.27,0.0294,0.345,"lactate"
"GPI",TRUE,2.39,0.0675,-0.361,-2.22,0.033,0.363,NA
"CHEBI:17050",TRUE,1.94,0.751,-0.384,-1.48,0.148,0.543,"3-phosphoglycerate"
"GAPDH",TRUE,1.75,0.177,-0.237,-1.68,0.103,0.508,NA
"TPI1",TRUE,1.63,0.32,-0.19,-1.52,0.136,0.543,NA
"CHEBI:32816",TRUE,1.36,-0.262,-0.46,-1.22,0.231,0.543,"pyruvate"
"PGAM1",TRUE,1.13,-1.35,-0.54,1.02,0.315,0.571,NA
"CHEBI:17720",TRUE,0.962,1.45,0.322,-0.855,0.398,0.63,"2,3-diphosphoglycerate"
"CHEBI:18367",TRUE,0.941,0.0564,0.00988,-0.862,0.394,0.629,"phosphate"
"CHEBI:30915",TRUE,0.394,-0.173,-0.213,-0.383,0.704,0.836,"alpha-ketoglutarate"
"CHEBI:30797",FALSE,0.34,0.208,0.00463,-1.91,0.0646,0.45,"malate"
"CHEBI:32398",FALSE,0.164,0.203,-0.0357,-1.74,0.0899,0.487,"glycerate"
"CHEBI:47937",FALSE,0.136,0.0501,-0.882,-2.24,0.0315,0.356,"maltose"
"CHEBI:16530",FALSE,0.132,-0.0591,-0.488,-4.47,7.49e-05,0.00687,"3-methyl-2-oxobutyrate"
"CHEBI:1372",FALSE,0.117,-0.111,-0.468,-2.2,0.0347,0.372,"S-1-pyrroline-5-carboxylate"
"CHEBI:30769",FALSE,0.112,0.0845,0.227,2,0.0531,0.429,"citrate"
"MDH1",FALSE,0.105,0.381,-0.162,-1.57,0.125,0.536,NA
"TKT",FALSE,0.0896,0.297,-0.2,-1.8,0.0796,0.477,NA
"PGK1",FALSE,0.0882,0.188,-0.219,-1.85,0.0723,0.466,NA
"CHEBI:28645",FALSE,0.0774,-0.254,-0.453,-1.03,0.307,0.57,"fructose"
"CHEBI:16414",FALSE,0.0751,-0.103,-0.397,-3.55,0.00111,0.0476,"valine"
"CHEBI:32796",FALSE,0.0735,0.15,-0.213,-2.99,0.00504,0.154,"2-hydroxyglutarate"
"CHEBI:30851",FALSE,0.0717,-0.213,-0.832,-2,0.0535,0.429,"phenylpyruvate"
"GOT1",FALSE,0.0692,-0.212,-0.0173,2.27,0.0291,0.345,NA
"CA6",FALSE,0.0688,0.0478,-0.442,-2.84,0.00735,0.194,NA
"CHEBI:15971",FALSE,0.0687,-0.00316,-0.218,-4.69,3.83e-05,0.00377,"histidine"
"CHEBI:35932",FALSE,0.0642,-0.0331,-0.324,-2.61,0.0131,0.259,"3-methyl-2-oxovalerate"
"CHEBI:17865",FALSE,0.0637,-0.0429,-0.606,-4.9,2.07e-05,0.00256,"4-methyl-2-oxopentanoate"
"CHEBI:16977",FALSE,0.0636,-0.108,-0.354,-2.28,0.0286,0.345,"alanine"
"CHEBI:18019",FALSE,0.0614,-0.0641,-0.137,-1.13,0.268,0.558,"lysine"
"CHEBI:17295",FALSE,0.0609,-0.0303,-0.282,-3.56,0.00107,0.0476,"phenylalanine"
"CHEBI:61988",FALSE,0.0603,0.841,-0.872,-1.92,0.0626,0.45,"maltotetraose"
"CHEBI:18050",FALSE,0.0589,0.0994,0.011,-1.16,0.253,0.554,"glutamine"
"CHEBI:15676",FALSE,0.0562,0.0659,-0.0925,-1.47,0.15,0.543,"allantoin"
"CHEBI:16919",FALSE,0.0543,0.0132,-0.623,-4.34,0.000109,0.00941,"creatine"
"NME1",FALSE,0.0542,0.395,-0.09,-1.92,0.0635,0.45,NA
"CHEBI:17561",FALSE,0.0534,-0.16,0.0238,2.04,0.0482,0.402,"cysteine"
"CHEBI:18132",FALSE,0.0524,0.0493,-0.514,-2.66,0.0117,0.244,"choline phosphate"
"CHEBI:16704",FALSE,0.0508,0.0164,-0.438,-4.86,2.29e-05,0.00256,"uridine"
"CHEBI:17895",FALSE,0.0489,-0.0214,-0.313,-2.74,0.00949,0.214,"tyrosine"
"CHEBI:17053",FALSE,0.0484,0.00747,-0.278,-1.3,0.2,0.543,"aspartate"
"CHEBI:30860",FALSE,0.0478,-0.042,-0.387,-2.11,0.0415,0.388,"methylmalonate (MMA)"
"NME2",FALSE,0.046,0.137,-0.269,-1.59,0.12,0.53,NA
"CHEBI:15741",FALSE,0.0452,0.105,-0.0698,-1.78,0.0837,0.478,"succinate"
"SHBG",FALSE,0.0436,0.332,0.94,3.38,0.00176,0.0663,NA
"CHEBI:16027",FALSE,0.0422,0.401,-0.245,-1.21,0.233,0.543,"adenosine 5'-monophosphate (AMP)"
"CHEBI:18012",FALSE,0.0422,0.316,0.0921,-0.766,0.449,0.657,"fumarate"
"CHEBI:37024",FALSE,0.0406,-0.403,-1.09,-2.07,0.0459,0.4,"2-aminoadipate"
"AKR1A1",FALSE,0.0394,0.25,-0.193,-1.52,0.137,0.543,NA
"CA4",FALSE,0.0393,-0.136,0.0907,2.33,0.0255,0.336,NA
"CHEBI:41721",FALSE,0.0381,0.298,-0.368,-1.85,0.0722,0.466,"cysteine sulfinic acid"
"CHEBI:17752",FALSE,0.0378,0.165,0.00929,-1.3,0.203,0.543,"N6-acetyllysine"
