"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"CHEBI:48991",TRUE,1.16,0.264,0.933,0.0219,0.514,2.41,0.0219,-0.0347,0.973,"7-methylxanthine"
"CHEBI:28177",TRUE,0.884,0.287,0.933,0.0341,0.536,2.21,0.0341,-0.0914,0.928,"theophylline"
"CHEBI:27732",TRUE,0.425,0.384,0.933,0.0532,0.62,2.01,0.0532,-0.308,0.76,"caffeine"
"CHEBI:25858",TRUE,0.274,0.423,0.933,0.0144,0.65,2.59,0.0144,-0.39,0.699,"paraxanthine"
"CHEBI:17533",FALSE,0.0576,0.00263,0.226,0.0513,0.00822,2.02,0.0513,2.82,0.00822,"N-acetylglutamate"
"CHEBI:30797",FALSE,0.0432,0.151,0.933,0.0613,0.389,1.94,0.0613,0.873,0.389,"malate"
"CHEBI:422",FALSE,0.0372,0.031,0.872,0.0244,0.176,2.36,0.0244,1.38,0.176,"lactate"
"CHEBI:1372",FALSE,0.0353,0.33,0.933,0.0405,0.575,2.14,0.0405,0.567,0.575,"S-1-pyrroline-5-carboxylate"
"CD163",FALSE,0.0315,0.0762,0.933,0.276,0.046,1.11,0.276,2.08,0.046,NA
"CHEBI:32816",FALSE,0.0305,0.0737,0.933,0.271,0.241,1.12,0.271,1.2,0.241,"pyruvate"
"SELL",FALSE,0.0255,0.071,0.933,0.266,0.228,-1.13,0.266,-1.23,0.228,NA
"CHEBI:73024",FALSE,0.0254,0.0194,0.702,0.0946,0.139,-1.72,0.0946,-1.52,0.139,"acetylcarnitine"
"CHEBI:17712",FALSE,0.025,0.0237,0.796,0.106,0.154,1.67,0.106,1.46,0.154,"xanthine"
"CHEBI:17189",FALSE,0.0228,0.132,0.933,0.363,0.314,-0.922,0.363,-1.02,0.314,"gentisate"
"CDH1",FALSE,0.0223,0.0773,0.933,0.278,0.145,1.1,0.278,1.5,0.145,NA
"CHEBI:15611",FALSE,0.0215,0.23,0.933,0.48,0.179,0.715,0.48,1.38,0.179,"sarcosine"
"CHEBI:30805",FALSE,0.0213,0.00812,0.418,0.0901,0.029,1.75,0.0901,2.29,0.029,"laurate (12:0)"
"CHEBI:15344",FALSE,0.0211,0.0329,0.893,0.177,0.181,-1.38,0.177,-1.37,0.181,"acetoacetate"
"LEP",FALSE,0.0206,0.054,0.933,0.232,0.0936,1.22,0.232,1.73,0.0936,NA
"IL1R1",FALSE,0.0199,0.133,0.933,0.365,0.12,0.919,0.365,1.6,0.12,NA
"IGFBP1",FALSE,0.0174,0.00819,0.418,0.0905,0.0572,-1.75,0.0905,-1.98,0.0572,NA
"APOA1",FALSE,0.0164,0.0399,0.933,0.0566,0.2,1.98,0.0566,1.31,0.2,NA
"CHEBI:17351",FALSE,0.0164,0.194,0.933,0.341,0.44,0.967,0.341,0.782,0.44,"linoleate (18:2n6)"
"PAPPA",FALSE,0.0161,0.00641,0.397,0.0649,0.0801,-1.91,0.0649,-1.81,0.0801,NA
"ARSB",FALSE,0.016,0.114,0.933,0.337,0.278,0.974,0.337,1.1,0.278,NA
"CGA",FALSE,0.0157,0.0849,0.933,0.291,0.257,1.07,0.291,1.15,0.257,NA
"NR1D1",FALSE,0.0149,0.0919,0.933,0.0746,0.303,1.84,0.0746,1.05,0.303,NA
"CHEBI:30913",FALSE,0.014,0.351,0.933,0.592,0.583,-0.541,0.592,0.213,0.833,"pipecolate"
"PRKAA1",FALSE,0.0132,0.275,0.933,0.123,0.524,1.59,0.123,0.644,0.524,NA
"CHEBI:18012",FALSE,0.0131,0.152,0.933,0.39,0.317,0.872,0.39,1.02,0.317,"fumarate"
"CHEBI:30915",FALSE,0.0128,0.21,0.933,0.459,0.233,0.75,0.459,1.22,0.233,"alpha-ketoglutarate"
"CHEBI:17368",FALSE,0.0116,0.235,0.933,0.426,0.484,0.807,0.426,0.708,0.484,"hypoxanthine"
"CHEBI:16742",FALSE,0.0111,0.216,0.933,0.211,0.464,-1.28,0.211,-0.741,0.464,"orotate"
"CHEBI:16797",FALSE,0.0108,0.00814,0.418,0.0275,0.0902,2.31,0.0275,1.75,0.0902,"1-methylnicotinamide"
"CHEBI:28645",FALSE,0.0106,0.121,0.933,0.348,0.0767,0.953,0.348,1.83,0.0767,"fructose"
"SOD2",FALSE,0.0105,0.317,0.933,0.563,0.168,-0.161,0.873,1.41,0.168,NA
"ULBP2",FALSE,0.0104,0.274,0.933,0.524,0.0827,-0.0597,0.953,1.79,0.0827,NA
"SERPINA1",FALSE,0.00988,0.0994,0.933,0.000201,0.315,-4.2,0.000201,-1.02,0.315,NA
"PLA2G2E",FALSE,0.00982,0.331,0.933,0.575,0.162,-0.192,0.849,1.43,0.162,NA
"CHEBI:21547",FALSE,0.00952,0.354,0.933,0.595,0.103,0.537,0.595,1.68,0.103,"N-acetylaspartate (NAA)"
"IL12B",FALSE,0.00919,0.285,0.933,0.176,0.534,1.38,0.176,-0.0868,0.931,NA
"CHEBI:27410",FALSE,0.0091,0.295,0.933,0.0905,0.543,1.75,0.0905,0.615,0.543,"N1-Methyl-2-pyridone-5-carboxamide"
"CHEBI:15741",FALSE,0.00886,0.0709,0.933,0.0638,0.266,1.92,0.0638,1.13,0.266,"succinate"
"ANG",FALSE,0.00876,0.288,0.933,0.436,0.537,-0.789,0.436,0.093,0.927,NA
"CHEBI:17295",FALSE,0.00868,3.45e-05,0.0158,0.0022,0.00587,3.33,0.0022,2.96,0.00587,"phenylalanine"
"CHEBI:15756",FALSE,0.00863,0.243,0.933,0.343,0.493,0.962,0.343,0.694,0.493,"palmitate (16:0)"
"HSPA1A",FALSE,0.00856,0.248,0.933,0.498,0.485,0.686,0.498,0.707,0.485,NA
"C5",FALSE,-0.0087,0.6,0.933,0.111,0.775,1.64,0.111,-0.764,0.45,NA
"PRKCA",FALSE,-0.00878,0.807,0.933,0.198,0.899,1.32,0.198,0.129,0.899,NA
"ICOSLG",FALSE,-0.00884,0.791,0.933,0.181,0.889,1.37,0.181,-1.25,0.221,NA
"HBA1",FALSE,-0.00888,0.783,0.933,0.885,0.173,1.22,0.23,-1.4,0.173,NA
"UFM1",FALSE,-0.00889,0.819,0.933,0.152,0.905,1.47,0.152,-1.34,0.19,NA
"FGG",FALSE,-0.00912,0.991,0.996,0.111,0.995,-1.64,0.111,-0.0058,0.995,NA
