"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"SOD2",TRUE,0.483,0.317,0.933,0.563,0.168,-0.161,0.873,1.41,0.168,NA
"CHEBI:30797",FALSE,0.0424,0.151,0.933,0.0613,0.389,1.94,0.0613,0.873,0.389,"malate"
"CHEBI:32816",FALSE,0.0287,0.0737,0.933,0.271,0.241,1.12,0.271,1.2,0.241,"pyruvate"
"CD163",FALSE,0.0259,0.0762,0.933,0.276,0.046,1.11,0.276,2.08,0.046,NA
"CHEBI:422",FALSE,0.0187,0.031,0.872,0.0244,0.176,2.36,0.0244,1.38,0.176,"lactate"
"LEP",FALSE,0.0166,0.054,0.933,0.232,0.0936,1.22,0.232,1.73,0.0936,NA
"NR1D1",FALSE,0.012,0.0919,0.933,0.0746,0.303,1.84,0.0746,1.05,0.303,NA
"APOA1",FALSE,0.0112,0.0399,0.933,0.0566,0.2,1.98,0.0566,1.31,0.2,NA
"CDH1",FALSE,0.011,0.0773,0.933,0.278,0.145,1.1,0.278,1.5,0.145,NA
"BMP1",FALSE,0.0104,0.0331,0.893,0.0732,0.182,1.85,0.0732,1.37,0.182,NA
"LTA4H",FALSE,0.0103,0.106,0.933,0.17,0.326,-1.4,0.17,-0.999,0.326,NA
"CHEBI:16797",FALSE,0.0101,0.00814,0.418,0.0275,0.0902,2.31,0.0275,1.75,0.0902,"1-methylnicotinamide"
"CHEBI:20067",FALSE,0.00883,0.0146,0.65,0.00434,0.121,-3.07,0.00434,-1.6,0.121,"3-hydroxybutyrate (BHBA)"
"CHEBI:17295",FALSE,0.00841,3.45e-05,0.0158,0.0022,0.00587,3.33,0.0022,2.96,0.00587,"phenylalanine"
"CHEBI:30813",FALSE,0.00802,0.0982,0.933,0.313,0.000129,1.02,0.313,4.37,0.000129,"caprate (10:0)"
"IL1R1",FALSE,0.00768,0.133,0.933,0.365,0.12,0.919,0.365,1.6,0.12,NA
"CHEBI:17895",FALSE,0.00734,0.000434,0.116,0.0208,0.000464,2.43,0.0208,3.92,0.000464,"tyrosine"
"ECE1",FALSE,0.00725,0.152,0.933,0.39,0.138,0.871,0.39,1.52,0.138,NA
