"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p"
"6_min_walk_test_distance",5.97,0.0146,0.406,-2.18,0.0291,2.41,0.0161
"BMI",5.03,0.025,0.406,-3.09,0.00202,1.96,0.0499
"mttins15",3.92,0.0476,0.406,3.91,9.08e-05,-1.67,0.0953
"ALT",3.63,0.0566,0.406,-1.58,0.113,1.68,0.0924
"fat_mass",3.63,0.0567,0.406,-2.05,0.0407,1.58,0.113
"body_fat",3.51,0.0609,0.406,-1.79,0.0737,1.55,0.122
"AST",2.67,0.102,0.585,-1.27,0.205,1.65,0.0985
"total_cholesterol",2.21,0.137,0.685,-1.09,0.274,1.96,0.05
"LDL_cholesterol",1.84,0.175,0.779,-0.933,0.351,1.55,0.121
"mttg120",1.66,0.197,0.788,-0.852,0.394,3.12,0.00183
"6_min_walk_test_heart_rate",1.34,0.248,0.846,-0.682,0.495,1.19,0.233
"mttins0",1.2,0.273,0.846,-1,0.316,0.604,0.546
"homair",0.863,0.353,0.846,-0.378,0.706,1.49,0.136
"SBP",0.772,0.38,0.846,-0.306,0.759,0.973,0.331
"Waist",0.736,0.391,0.846,-1.2,0.23,0.277,0.782
"insiauc",0.634,0.426,0.846,1.02,0.307,-0.187,0.852
"mttins60",0.597,0.44,0.846,-0.151,0.88,1.12,0.262
"HDL_cholesterol",0.49,0.484,0.846,-2.92,0.00346,0.0405,0.968
"odi",0.463,0.496,0.846,0.446,0.656,-0.00968,0.992
"dins030",0.37,0.543,0.846,3.2,0.00135,0.108,0.914
"instauc",0.367,0.545,0.846,0.498,0.619,0.112,0.911
"basal_metabolic_rate",0.36,0.549,0.846,0.521,0.602,0.122,0.903
"matsuda",0.334,0.563,0.846,-0.16,0.873,-2.34,0.019
"mttins30",0.269,0.604,0.846,2.89,0.00382,0.263,0.792
"white_blood_count",0.244,0.621,0.846,-1.57,0.117,-0.309,0.757
"mttg0",0.223,0.637,0.846,0.35,0.726,4.31,1.65e-05
"dmcure",0.218,0.641,0.846,0.361,0.718,1.06,0.291
"fat_free_mass",0.212,0.645,0.846,-0.372,0.71,-0.768,0.443
"fasting_plasma_glucose",0.208,0.648,0.846,0.38,0.704,4.37,1.23e-05
"hematocrit",0.199,0.656,0.846,-3.32,0.000898,-0.401,0.688
"dinsg030",0.195,0.659,0.846,1.26,0.209,0.409,0.683
"HbA1c",0.174,0.677,0.846,0.458,0.647,3.38,0.000732
"homab",0.121,0.728,0.853,-0.642,0.521,-0.608,0.543
"DBP",0.109,0.742,0.853,0.76,0.447,0.649,0.517
"dg030",0.105,0.746,0.853,5.16,2.42e-07,0.663,0.508
"mttg60",0.0413,0.839,0.932,0.991,0.322,4.36,1.31e-05
"triglycerides",0.0105,0.918,0.973,1.49,0.136,1.39,0.163
"mttins120",0.009,0.924,0.973,-4.03,5.47e-05,-1.44,0.151
"mttg30",1.29e-07,1,1,3.44,0.000574,4.14,3.44e-05
"mttg15",1.89e-08,1,1,4.27,1.92e-05,3.7,0.000219
