"","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p"
"6_min_walk_test_distance",0.000921,0.0226,0.0303,0.0183,-2.26,0.0303,2.48,0.0183
"BMI",0.00113,0.0226,0.00085,0.0336,-3.65,0.00085,2.21,0.0336
"mttins15",0.0105,0.106,0.000103,0.103,4.4,0.000103,-1.68,0.103
"ALT",0.0134,0.106,0.116,0.0991,-1.61,0.116,1.7,0.0991
"fat_mass",0.0146,0.106,0.042,0.121,-2.11,0.042,1.59,0.121
"body_fat",0.0159,0.106,0.073,0.126,-1.85,0.073,1.57,0.126
"AST",0.0433,0.247,0.208,0.106,-1.28,0.208,1.66,0.106
"total_cholesterol",0.077,0.385,0.277,0.0548,-1.1,0.277,1.99,0.0548
"LDL_cholesterol",0.125,0.557,0.354,0.129,-0.939,0.354,1.56,0.129
"mttg120",0.158,0.633,0.398,0.00222,-0.856,0.398,3.32,0.00222
"6_min_walk_test_heart_rate",0.248,0.758,0.498,0.243,-0.685,0.498,1.19,0.243
"dins030",0.294,0.758,0.00147,0.542,3.46,0.00147,0.106,0.916
"mttins0",0.307,0.758,0.319,0.554,-1.01,0.319,0.598,0.554
"matsuda",0.317,0.758,0.563,0.0209,-0.16,0.874,-2.43,0.0209
"mttins30",0.362,0.758,0.0041,0.602,3.08,0.0041,0.259,0.797
"basal_metabolic_rate",0.366,0.758,0.605,0.548,0.522,0.605,0.121,0.905
"instauc",0.386,0.758,0.621,0.544,0.498,0.621,0.111,0.913
"white_blood_count",0.395,0.758,0.0925,0.628,-1.73,0.0925,-0.33,0.743
"mttg0",0.404,0.758,0.636,2.23e-05,0.351,0.728,4.94,2.23e-05
"fat_free_mass",0.415,0.758,0.644,0.452,-0.373,0.711,-0.761,0.452
"fasting_plasma_glucose",0.419,0.758,0.647,1.66e-05,0.38,0.706,5.01,1.66e-05
"hematocrit",0.43,0.758,0.000798,0.655,-3.68,0.000798,-0.403,0.689
"dinsg030",0.437,0.758,0.194,0.661,1.33,0.194,0.42,0.677
"HbA1c",0.477,0.758,0.691,0.00022,0.503,0.618,4.13,0.00022
"dmcure",0.48,0.758,0.693,0.146,0.508,0.615,1.49,0.146
"homair",0.496,0.758,0.704,0.139,-0.383,0.704,1.51,0.139
"homab",0.523,0.758,0.525,0.723,-0.644,0.525,-0.599,0.554
"DBP",0.544,0.758,0.45,0.738,0.764,0.45,0.642,0.525
"dg030",0.55,0.758,2.98e-07,0.741,6.36,2.98e-07,0.655,0.517
"SBP",0.579,0.772,0.761,0.341,-0.306,0.761,0.966,0.341
"Waist",0.617,0.796,0.231,0.786,-1.22,0.231,0.274,0.786
"mttg60",0.701,0.876,0.837,1.78e-05,0.997,0.326,5.01,1.78e-05
"insiauc",0.731,0.886,0.311,0.855,1.03,0.311,-0.184,0.855
"mttins60",0.775,0.912,0.881,0.273,-0.151,0.881,1.12,0.273
"triglycerides",0.835,0.94,0.139,0.914,1.51,0.139,1.39,0.173
"mttins120",0.846,0.94,6.21e-05,0.92,-4.57,6.21e-05,-1.44,0.16
"HDL_cholesterol",0.938,0.998,0.00364,0.968,-3.12,0.00364,0.04,0.968
"odi",0.948,0.998,0.122,0.974,1.59,0.122,-0.0333,0.974
"mttg30",0.999,1,1,4.6e-05,3.76,0.000633,4.69,4.6e-05
"mttg15",1,1,2.23e-05,1,4.91,2.23e-05,4.06,0.000282
