"","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:15971",-0.003164,-0.2177,-4.694,3.833e-05,0.00377,"histidine"
"CHEBI:17196",0.06637,-0.1868,-3.584,0.0009981,0.04739,"asparagine"
"CHEBI:30817",-0.01865,-0.4305,-1.928,0.06177,0.4502,"trans-urocanate"
"CHEBI:17115",0.111,0.2518,1.793,0.08147,0.4774,"serine"
"CHEBI:15428",0.1964,0.329,1.453,0.1549,0.5428,"glycine"
"CHEBI:17053",0.00747,-0.2782,-1.304,0.2005,0.5428,"aspartate"
"CHEBI:32816",-0.2622,-0.4603,-1.218,0.2313,0.5428,"pyruvate"
"CHEBI:16027",0.4007,-0.2448,-1.214,0.2328,0.5428,"adenosine 5'-monophosphate (AMP)"
"CHEBI:18050",0.09937,0.01096,-1.161,0.2531,0.5536,"glutamine"
"CHEBI:18367",0.05635,0.009885,-0.862,0.3944,0.6286,"phosphate"
"CHEBI:16015",-0.2246,-0.3188,-0.4112,0.6834,0.8185,"glutamate"
"CHEBI:30915",-0.1733,-0.2127,-0.3826,0.7042,0.836,"alpha-ketoglutarate"
