"","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:17196",0.06637,-0.1868,-3.584,0.0009981,0.04739,"asparagine"
"CHEBI:17202",1.091,0.01188,-1.492,0.1445,0.5428,"inosine 5'-monophosphate (IMP)"
"CHEBI:17053",0.00747,-0.2782,-1.304,0.2005,0.5428,"aspartate"
"CHEBI:16027",0.4007,-0.2448,-1.214,0.2328,0.5428,"adenosine 5'-monophosphate (AMP)"
"CHEBI:18050",0.09937,0.01096,-1.161,0.2531,0.5536,"glutamine"
"CHEBI:16467",-0.07512,0.03699,1.077,0.2885,0.566,"arginine"
"CHEBI:18367",0.05635,0.009885,-0.862,0.3944,0.6286,"phosphate"
"CHEBI:18012",0.3163,0.09212,-0.7658,0.4488,0.6568,"fumarate"
"CHEBI:16349",-0.1215,0.004756,0.7134,0.4802,0.6803,"citrulline"
"CHEBI:21547",0.01492,-0.07578,-0.5228,0.6043,0.7656,"N-acetylaspartate (NAA)"
"ADSL",0.3838,0.1166,-0.5002,0.62,0.7747,NA
"CHEBI:16015",-0.2246,-0.3188,-0.4112,0.6834,0.8185,"glutamate"
"CHEBI:30915",-0.1733,-0.2127,-0.3826,0.7042,0.836,"alpha-ketoglutarate"
"CHEBI:16958",0.01995,0.006097,-0.09345,0.9261,0.9647,"beta-alanine"
