"","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:16977",-0.1078,-0.3544,-2.281,0.02858,0.3446,"alanine"
"CHEBI:1372",-0.1113,-0.4682,-2.196,0.03466,0.3725,"S-1-pyrroline-5-carboxylate"
"CHEBI:17561",-0.1601,0.02385,2.045,0.04821,0.4024,"cysteine"
"CHEBI:15741",0.1046,-0.06975,-1.779,0.0837,0.4785,"succinate"
"NAGK",0.2624,-0.08697,-1.587,0.1213,0.5298,NA
"CHEBI:15428",0.1964,0.329,1.453,0.1549,0.5428,"glycine"
"CHEBI:17053",0.00747,-0.2782,-1.304,0.2005,0.5428,"aspartate"
"CHEBI:32816",-0.2622,-0.4603,-1.218,0.2313,0.5428,"pyruvate"
"CHEBI:16027",0.4007,-0.2448,-1.214,0.2328,0.5428,"adenosine 5'-monophosphate (AMP)"
"CHEBI:18050",0.09937,0.01096,-1.161,0.2531,0.5536,"glutamine"
"CHEBI:18367",0.05635,0.009885,-0.862,0.3944,0.6286,"phosphate"
"GPT",0.1333,0.05244,-0.6368,0.5283,0.7146,NA
"CHEBI:16015",-0.2246,-0.3188,-0.4112,0.6834,0.8185,"glutamate"
"CHEBI:30915",-0.1733,-0.2127,-0.3826,0.7042,0.836,"alpha-ketoglutarate"
