"","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:16919",0.01317,-0.6231,-4.345,0.0001094,0.009414,"creatine"
"CHEBI:16977",-0.1078,-0.3544,-2.281,0.02858,0.3446,"alanine"
"CHEBI:17561",-0.1601,0.02385,2.045,0.04821,0.4024,"cysteine"
"CHEBI:17115",0.111,0.2518,1.793,0.08147,0.4774,"serine"
"CHEBI:16680",0.3041,-0.4946,-1.75,0.08875,0.4868,"S-adenosylhomocysteine (SAH)"
"CHEBI:32398",0.2034,-0.03571,-1.743,0.0899,0.4868,"glycerate"
"CHEBI:17050",0.7509,-0.3844,-1.479,0.148,0.5428,"3-phosphoglycerate"
"CHEBI:15428",0.1964,0.329,1.453,0.1549,0.5428,"glycine"
"CHEBI:32816",-0.2622,-0.4603,-1.218,0.2313,0.5428,"pyruvate"
"CHEBI:16027",0.4007,-0.2448,-1.214,0.2328,0.5428,"adenosine 5'-monophosphate (AMP)"
"CHEBI:17482",0.1224,-0.6911,-1.173,0.2483,0.5532,"cystathionine"
"CHEBI:16643",0.01027,-0.08693,-1.111,0.2742,0.5611,"methionine"
"CHEBI:16467",-0.07512,0.03699,1.077,0.2885,0.566,"arginine"
"CHEBI:15611",-0.07097,-0.2137,-1.028,0.3109,0.5709,"sarcosine"
"CHEBI:17724",-0.1524,-0.2534,-0.9122,0.3677,0.6101,"dimethylglycine"
"CHEBI:30831",0.135,-0.1438,-0.8705,0.3898,0.6278,"alpha-ketobutyrate"
"CHEBI:18367",0.05635,0.009885,-0.862,0.3944,0.6286,"phosphate"
"CHEBI:15842",0.01709,0.1149,0.5321,0.5979,0.7645,"orotidine"
"CHEBI:16015",-0.2246,-0.3188,-0.4112,0.6834,0.8185,"glutamate"
"CHEBI:30915",-0.1733,-0.2127,-0.3826,0.7042,0.836,"alpha-ketoglutarate"
"CHEBI:17750",0.016,-0.008329,-0.1886,0.8514,0.929,"betaine"
"CHEBI:16344",0.295,0.3189,0.1006,0.9204,0.963,"guanidinoacetate"
