"","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:17295",-0.03031,-0.2823,-3.558,0.001072,0.0476,"phenylalanine"
"CHEBI:17895",-0.02138,-0.3132,-2.741,0.009488,0.2142,"tyrosine"
"GOT1",-0.2123,-0.01728,2.273,0.0291,0.3446,NA
"CHEBI:30851",-0.2134,-0.8323,-1.996,0.05351,0.429,"phenylpyruvate"
"CHEBI:15344",0.8248,1.778,1.725,0.09307,0.4914,"acetoacetate"
"CHEBI:16027",0.4007,-0.2448,-1.214,0.2328,0.5428,"adenosine 5'-monophosphate (AMP)"
"CHEBI:18012",0.3163,0.09212,-0.7658,0.4488,0.6568,"fumarate"
"CHEBI:16015",-0.2246,-0.3188,-0.4112,0.6834,0.8185,"glutamate"
"CHEBI:30915",-0.1733,-0.2127,-0.3826,0.7042,0.836,"alpha-ketoglutarate"
"CHEBI:15999",-0.2801,-0.3519,-0.3613,0.72,0.8422,"4-hydroxyphenylpyruvate"
