"","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:16977",-0.1078,-0.3544,-2.281,0.02858,0.3446,"alanine"
"ARG1",-0.1267,0.04806,2.146,0.03872,0.3863,NA
"CHEBI:16199",0.00866,-0.3081,-1.982,0.05513,0.4345,"urea"
"CHEBI:17053",0.00747,-0.2782,-1.304,0.2005,0.5428,"aspartate"
"CHEBI:32816",-0.2622,-0.4603,-1.218,0.2313,0.5428,"pyruvate"
"CHEBI:16027",0.4007,-0.2448,-1.214,0.2328,0.5428,"adenosine 5'-monophosphate (AMP)"
"CHEBI:18050",0.09937,0.01096,-1.161,0.2531,0.5536,"glutamine"
"CHEBI:16467",-0.07512,0.03699,1.077,0.2885,0.566,"arginine"
"CHEBI:18367",0.05635,0.009885,-0.862,0.3944,0.6286,"phosphate"
"CHEBI:18012",0.3163,0.09212,-0.7658,0.4488,0.6568,"fumarate"
"CHEBI:16349",-0.1215,0.004756,0.7134,0.4802,0.6803,"citrulline"
"GPT",0.1333,0.05244,-0.6368,0.5283,0.7146,NA
"CHEBI:16015",-0.2246,-0.3188,-0.4112,0.6834,0.8185,"glutamate"
"CHEBI:30915",-0.1733,-0.2127,-0.3826,0.7042,0.836,"alpha-ketoglutarate"
