"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","annot"
"CHEBI:17553",3.25,0.0715,0.996,1.46,0.143,-1.48,0.138,"phosphoethanolamine"
"CHEBI:18132",1.83,0.176,0.996,2.41,0.0159,-0.931,0.352,"choline phosphate"
"ARSA",2.02,0.155,0.889,-1.53,0.125,1.01,0.311,"Arylsulfatase A"
"CHEBI:16189",1.29,0.256,0.996,1.63,0.104,-0.656,0.512,"sulfate*"
"CHEBI:16393",1.56,0.211,0.996,0.802,0.422,-1.24,0.216,"sphingosine"
"SPHK2",1.03,0.311,0.889,0.494,0.622,-1.08,0.282,"SPHK2"
"CHEBI:17115",0.515,0.473,0.996,-1.14,0.253,0.0674,0.946,"serine"
"CHEBI:16566",0.576,0.448,0.996,-0.131,0.896,0.475,0.634,"sphinganine"
"ENPP7",0,1,1,2.02,0.0435,2.14,0.032,"ENPP7"
"CHEBI:18367",0,1,1,0.551,0.581,1.06,0.288,"phosphate"
