"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","annot"
"ENPP7",5.73,0.0167,1,-2.13,0.0334,3.64,0.000275,"ENPP7"
"CHEBI:17115",1.59,0.207,1,1.41,0.159,-0.816,0.415,"serine"
"CHEBI:16566",0.647,0.421,1,0.198,0.843,-0.38,0.704,"sphinganine"
"SPHK2",0,1,1,-0.481,0.631,-1.48,0.14,"SPHK2"
"ARSA",0,1,1,1.49,0.137,1.21,0.224,"Arylsulfatase A"
"CHEBI:16189",0,1,1,-1.66,0.0972,-1.76,0.0784,"sulfate*"
"CHEBI:17553",0,1,1,-1.36,0.175,-1.56,0.119,"phosphoethanolamine"
"CHEBI:16393",0,1,1,-0.691,0.49,-1.31,0.19,"sphingosine"
"CHEBI:18132",0,1,1,-2.24,0.0251,-1.07,0.284,"choline phosphate"
"CHEBI:18367",0,1,1,-0.665,0.506,-0.125,0.901,"phosphate"
