"","EMY.z","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","CHEBI"
"CHEBI:15603",2.88,0.00197,1,-3.54,0.000395,2.88,0.00393,"leucine"
"CHEBI:16414",2.84,0.00224,1,-3.31,0.000936,2.84,0.00448,"valine"
"CHEBI:17295",2.74,0.00304,1,-3.06,0.0022,2.74,0.00608,"phenylalanine"
"CHEBI:17865",2.64,0.00411,1,-4.32,1.54e-05,2.64,0.00822,"4-methyl-2-oxopentanoate"
"CHEBI:17895",2.31,0.0104,1,-2.31,0.0208,3.49,0.000486,"tyrosine"
"CHEBI:73594",2.28,0.0113,1,-2.75,0.00595,2.28,0.0226,"prolylglycine"
"CHEBI:37084",2.19,0.0143,1,-3.1,0.00195,2.19,0.0285,"beta-hydroxyisovalerate"
"CHEBI:17884",2.1,0.0179,1,2.29,0.022,-2.1,0.0359,"phenylacetylglutamine"
"GHR",2.06,0.0198,1,-3.21,0.00135,2.06,0.0396,NA
"CHEBI:81016",2.04,0.0206,1,-2.04,0.0411,3.05,0.00232,"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)"
"CD209",2.03,0.0212,1,-2.03,0.0424,2.07,0.0389,NA
"CHEBI:28837",2.01,0.0221,1,-2.36,0.0183,2.01,0.0442,"caprylate (8:0)"
"SERPINA3",1.97,0.0242,1,1.97,0.0484,-2.78,0.00535,NA
"CHEBI:15724",1.97,0.0243,1,3.17,0.00154,-1.97,0.0486,"trimethylamine N-oxide"
"CHEBI:16977",1.96,0.0247,1,-1.96,0.0495,2.26,0.0238,"alanine"
"CHEBI:17533",1.95,0.0257,1,-1.95,0.0513,2.64,0.0084,"N-acetylglutamate"
"F10",1.94,0.0264,1,-1.94,0.0528,2.22,0.0261,NA
"ASAH2",1.89,0.0291,1,-3.09,0.00198,1.89,0.0583,NA
"CHEBI:17522",1.83,0.0336,1,-2.1,0.036,1.83,0.0672,"glycerol"
"CHEBI:28875",1.83,0.0339,1,-1.83,0.0678,1.92,0.0547,"myristate (14:0)"
"CNDP1",1.78,0.0372,1,-4.45,8.55e-06,1.78,0.0743,NA
"PAPPA",1.75,0.0401,1,1.85,0.0649,-1.75,0.0801,NA
"CHEBI:73025",1.74,0.0408,1,-4.04,5.46e-05,1.74,0.0815,"isovalerylcarnitine"
"ENPP7",1.7,0.0449,1,-1.7,0.0897,2.39,0.0169,NA
"CHEBI:30805",1.69,0.0451,1,-1.69,0.0901,2.18,0.0291,"laurate (12:0)"
"CHEBI:16797",1.69,0.0452,1,-2.2,0.0275,1.69,0.0904,"1-methylnicotinamide"
"IGFBP1",1.69,0.0452,1,1.69,0.0905,-1.9,0.0573,NA
"CHEBI:32389",1.59,0.0557,1,-3.33,0.000863,1.59,0.111,"stearidonate (18:4n3)"
"CHEBI:16828",1.59,0.0558,1,-1.89,0.0583,1.59,0.112,"tryptophan"
"CHEBI:20067",1.55,0.0603,1,2.85,0.00434,-1.55,0.121,"3-hydroxybutyrate (BHBA)"
"CHEBI:35932",1.55,0.0607,1,-2.45,0.0142,1.55,0.121,"3-methyl-2-oxovalerate"
"CHEBI:10072",1.54,0.062,1,-4.41,1.02e-05,1.54,0.124,"xanthurenate"
"CHEBI:37257",1.53,0.0628,1,-1.53,0.126,1.74,0.0818,"phytanate"
"CHEBI:9300",1.52,0.0641,1,1.98,0.0475,-1.52,0.128,"suberate (octanedioate)"
"CHEBI:31697",1.51,0.0657,1,1.6,0.11,-1.51,0.131,"indolin-2-one"
"CHEBI:30851",1.5,0.0665,1,-1.96,0.0495,1.5,0.133,"phenylpyruvate"
"CHEBI:16530",1.49,0.0678,1,-3.95,7.74e-05,1.49,0.136,"3-methyl-2-oxobutyrate"
"CHEBI:73024",1.48,0.0697,1,1.67,0.0946,-1.48,0.139,"acetylcarnitine"
"CHEBI:37024",1.46,0.0723,1,-2.39,0.0169,1.46,0.145,"2-aminoadipate"
"SERPIND1",1.44,0.0746,1,-2.33,0.0196,1.44,0.149,NA
"CHEBI:17712",1.42,0.0771,1,-1.62,0.106,1.42,0.154,"xanthine"
"CHEBI:28867",1.4,0.0804,1,-3.99,6.47e-05,1.4,0.161,"propionylcarnitine"
"CHEBI:18344",1.4,0.0806,1,-4.23,2.38e-05,1.4,0.161,"kynurenate"
"CHEBI:42027",1.4,0.0814,1,-2.64,0.00829,1.4,0.163,"1,2-dilinoleoyl-GPC (18:2/18:2)"
"FGF19",1.39,0.0827,1,2.63,0.00851,-1.39,0.165,NA
"CHEBI:17864",1.38,0.0835,1,1.38,0.167,-2.79,0.00526,"taurolithocholate 3-sulfate"
"RET",1.36,0.0869,1,-1.36,0.174,2.26,0.0236,NA
"CFD",1.36,0.0877,1,1.36,0.175,-1.57,0.117,NA
"CHEBI:422",1.35,0.0881,1,-2.25,0.0244,1.35,0.176,"lactate"
"CHEBI:15344",1.34,0.0907,1,1.35,0.177,-1.34,0.181,"acetoacetate"
"BMP1",1.34,0.0909,1,-1.79,0.0732,1.34,0.182,NA
"CHEBI:84098",1.31,0.0944,1,1.31,0.189,-2.16,0.0311,"linoleoylcarnitine*"
"CHEBI:27781",1.3,0.0961,1,-1.33,0.183,1.3,0.192,"myristoleate (14:1n5)"
"APOA1",1.28,0.0999,1,-1.91,0.0566,1.28,0.2,NA
"DSG2",1.28,0.101,1,1.28,0.201,-1.68,0.0939,NA
"CHEBI:17568",1.27,0.102,1,-1.61,0.108,1.27,0.203,"uracil"
"CHEBI:45441",1.25,0.105,1,1.25,0.21,-2.12,0.0343,"N-acetylserine"
"CHEBI:20106",1.25,0.105,1,-1.35,0.178,1.25,0.211,"vanillylmandelate (VMA)"
"CST5",1.24,0.108,1,-1.76,0.0787,1.24,0.215,NA
"IGHG1",1.23,0.109,1,1.23,0.218,-1.75,0.0798,NA
"CHEBI:27747",1.23,0.109,1,-1.39,0.164,1.23,0.218,"homoarginine"
"CXCL11",1.23,0.11,1,-1.55,0.122,1.23,0.22,NA
"FAP",1.22,0.111,1,-1.22,0.222,2.51,0.0121,NA
"TNFRSF25",1.21,0.114,1,1.93,0.054,-1.21,0.228,NA
"LEP",1.19,0.116,1,-1.19,0.232,1.68,0.0937,NA
"CD27",1.19,0.117,1,-1.19,0.235,2.15,0.0317,NA
"PTN",1.19,0.118,1,1.21,0.225,-1.19,0.235,NA
"SHBG",1.18,0.119,1,2.79,0.00528,-1.18,0.238,NA
"CHEBI:64032",1.18,0.12,1,-1.18,0.24,1.39,0.166,"linoleoyl ethanolamide"
"CHEBI:18145",1.15,0.126,1,-1.2,0.229,1.15,0.252,"alpha-tocopherol"
"CHEBI:28661",1.14,0.127,1,-1.85,0.0647,1.14,0.254,"linolenate [alpha or gamma; (18:3n3 or 6)]"
"PYY",1.13,0.128,1,-1.13,0.257,1.41,0.159,NA
"CHEBI:18019",1.13,0.129,1,-1.13,0.259,1.22,0.224,"lysine"
"CHEBI:16643",1.13,0.129,1,-1.13,0.259,2.58,0.00982,"methionine"
"CHEBI:15728",1.13,0.13,1,-1.85,0.0644,1.13,0.259,"4-guanidinobutanoate"
"SELL",1.11,0.133,1,1.11,0.266,-1.2,0.229,NA
"CHEBI:15741",1.11,0.133,1,-1.85,0.0638,1.11,0.267,"succinate"
"EGFR",1.11,0.134,1,-1.11,0.267,1.6,0.11,NA
"CHEBI:32816",1.1,0.136,1,-1.1,0.271,1.17,0.241,"pyruvate"
"CD163",1.09,0.138,1,-1.09,0.276,1.99,0.0463,NA
"CDH1",1.08,0.139,1,-1.08,0.278,1.46,0.145,NA
"LYVE1",1.08,0.14,1,1.19,0.235,-1.08,0.279,NA
"CGA",1.06,0.146,1,-1.06,0.291,1.13,0.257,NA
"GP1BA",1.05,0.146,1,2.21,0.0272,-1.05,0.292,NA
"SIGLEC1",1.05,0.147,1,-1.05,0.294,1.32,0.186,NA
"CD84",1.04,0.148,1,1.04,0.297,-2.4,0.0164,NA
"C1QA",1.04,0.149,1,1.13,0.259,-1.04,0.298,NA
"PCSK7",1.04,0.149,1,-1.04,0.298,1.41,0.16,NA
"NR1D1",1.03,0.152,1,-1.78,0.0746,1.03,0.303,NA
"IGFBP2",1.02,0.153,1,2.93,0.00337,-1.02,0.307,NA
"NRP1",1.02,0.155,1,1.02,0.31,-1.95,0.0507,NA
"CHEBI:30813",1.01,0.157,1,-1.01,0.313,3.82,0.000136,"caprate (10:0)"
"SERPINA1",1,0.158,1,3.72,0.000201,-1,0.316,NA
"MAPKAPK5",0.998,0.159,1,-1.18,0.24,0.998,0.318,NA
"ADAMTS5",0.997,0.159,1,0.997,0.319,-1.92,0.055,NA
"IGHD",0.992,0.161,1,-0.992,0.321,1.36,0.175,NA
"GCKR",0.989,0.161,1,-0.989,0.323,1.07,0.285,NA
"IL1RAPL2",0.985,0.162,1,-1.25,0.211,0.985,0.325,NA
"LTA4H",0.982,0.163,1,1.37,0.17,-0.982,0.326,NA
"CHEBI:30794",0.971,0.166,1,1.42,0.155,-0.971,0.331,"malonate"
"CHEBI:16814",0.97,0.166,1,-1.66,0.0972,0.97,0.332,"dehydroisoandrosterone sulfate (DHEA-S)"
"CKB",0.966,0.167,1,-0.966,0.334,1.48,0.14,NA
"ARSB",0.96,0.169,1,-0.96,0.337,1.08,0.278,NA
"CHEBI:28645",0.939,0.174,1,-0.939,0.348,1.77,0.0769,"fructose"
"CXCL5",0.933,0.176,1,-1.12,0.264,0.933,0.351,NA
"PCSK9",0.927,0.177,1,-0.927,0.354,2.43,0.015,NA
"CHEBI:65136",0.915,0.18,1,-0.915,0.36,1.09,0.277,"docosapentaenoate (n3 DPA; 22:5n3)"
"FAM107B",0.911,0.181,1,-0.911,0.362,1.23,0.219,NA
"CHEBI:17189",0.909,0.182,1,0.909,0.363,-1.01,0.314,"gentisate"
"IL1R1",0.906,0.183,1,-0.906,0.365,1.56,0.12,NA
"ERP29",0.891,0.186,1,-0.989,0.323,0.891,0.373,NA
"CHEBI:71179",0.89,0.187,1,-1.66,0.0974,0.89,0.374,"tiglylcarnitine"
"CHEBI:16919",0.886,0.188,1,-3.5,0.000459,0.886,0.376,"creatine"
"SELE",0.886,0.188,1,-1.19,0.234,0.886,0.376,NA
"IGF2R",0.876,0.19,1,-0.876,0.381,1.73,0.0842,NA
"CHEBI:16199",0.873,0.191,1,-1.92,0.0545,0.873,0.383,"urea"
"CHEBI:30797",0.861,0.195,1,-1.87,0.0613,0.861,0.389,"malate"
"CHEBI:18012",0.86,0.195,1,-0.86,0.39,1,0.317,"fumarate"
"ECE1",0.86,0.195,1,-0.86,0.39,1.48,0.139,NA
"CADM3",0.852,0.197,1,1.52,0.128,-0.852,0.394,NA
"CHEBI:82914",0.827,0.204,1,0.827,0.408,-1.94,0.0523,"p-cresol sulfate"
"CHEBI:32805",0.815,0.207,1,-0.815,0.415,1.44,0.151,"cis-aconitate"
"TNFRSF8",0.802,0.211,1,1.59,0.112,-0.802,0.423,NA
"CHEBI:17687",0.792,0.214,1,-0.792,0.428,1.66,0.0966,"glycocholate"
"CKAP2",0.788,0.215,1,0.813,0.416,-0.788,0.431,NA
"CHEBI:28125",0.784,0.217,1,-2.36,0.0182,0.784,0.433,"docosahexaenoate (DHA; 22:6n3)"
"CHEBI:18107",0.784,0.217,1,-0.784,0.433,1.54,0.124,"xanthosine"
"CHEBI:7676",0.774,0.219,1,-1.78,0.0751,0.774,0.439,"butyrylcarnitine"
"CHEBI:17351",0.772,0.22,1,-0.952,0.341,0.772,0.44,"linoleate (18:2n6)"
"CD97",0.763,0.223,1,0.782,0.434,-0.763,0.445,NA
"IL17RA",0.763,0.223,1,0.763,0.446,-1.48,0.138,NA
"PARK7",0.76,0.224,1,-0.76,0.447,0.952,0.341,NA
"CRLF1",0.759,0.224,1,-0.759,0.448,1.18,0.238,NA
