"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","annot"
"CHEBI:16977",4.67,0.0308,0.729,1.87,0.0615,2.17,0.0297,"alanine"
"CHEBI:16919",1.71,0.191,0.905,3.41,0.000641,0.873,0.383,"creatine"
"CHEBI:16643",2.09,0.148,0.894,1.04,0.297,2.41,0.016,"methionine"
"CHEBI:32816",2.15,0.142,0.894,1.07,0.285,1.16,0.246,"pyruvate"
"CHEBI:15611",1.34,0.247,0.905,0.683,0.494,1.32,0.186,"sarcosine"
"CHEBI:30915",1.35,0.245,0.905,0.69,0.49,1.13,0.26,"alpha-ketoglutarate"
"CHEBI:15842",0.722,0.396,0.905,-0.265,0.791,-1.76,0.0791,"orotidine"
"CHEBI:17482",1.04,0.309,0.905,0.615,0.538,0.499,0.617,"cystathionine"
"CHEBI:15428",0.57,0.45,0.905,-1.04,0.297,-0.125,0.901,"glycine"
"CHEBI:17750",0.586,0.444,0.905,-0.141,0.888,-0.508,0.612,"betaine"
"CHEBI:16015",0.534,0.465,0.905,0.421,0.674,0.0876,0.93,"glutamate"
"CHEBI:17050",0,1,1,1.31,0.192,-1.93,0.0542,"3-phosphoglycerate"
"CHEBI:16027",0,1,1,1.08,0.278,-1.85,0.0648,"adenosine 5'-monophosphate (AMP)"
"CHEBI:16680",0,1,1,1.57,0.117,-1.4,0.162,"S-adenosylhomocysteine (SAH)"
"CHEBI:17561",0,1,1,-1.91,0.0565,1.38,0.168,"cysteine"
"CHEBI:32398",0,1,1,1.54,0.124,-1.14,0.255,"glycerate"
"CHEBI:16467",0,1,1,-0.992,0.321,1.11,0.268,"arginine"
"CHEBI:16344",0,1,1,-0.0779,0.938,0.652,0.515,"guanidinoacetate"
"CHEBI:17724",0,1,1,0.513,0.608,-0.597,0.551,"dimethylglycine"
"CHEBI:18367",0,1,1,0.551,0.581,-0.0529,0.958,"phosphate"
"CHEBI:17115",0,1,1,-1.14,0.253,0.0322,0.974,"serine"
"CHEBI:30831",0,1,1,1.02,0.306,-0.0214,0.983,"alpha-ketobutyrate"
