"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","annot"
"CHEBI:17568",2.63,0.105,0.897,1.59,0.112,1.26,0.209,"uracil"
"CHEBI:16704",0.662,0.416,0.905,3.94,8.05e-05,0.212,0.832,"uridine"
"CHEBI:16742",1.39,0.239,0.905,-1.22,0.223,-0.711,0.477,"orotate"
"CHEBI:16450",1.12,0.291,0.905,-0.551,0.582,-1.36,0.173,"2'-deoxyuridine"
"CHEBI:15842",0.722,0.396,0.905,-0.265,0.791,-1.73,0.0843,"orotidine"
"CHEBI:17562",0.523,0.47,0.905,-1.51,0.132,-0.0761,0.939,"cytidine"
"CHEBI:18050",0.482,0.487,0.905,1.15,0.25,0.0316,0.975,"glutamine"
"TK1",0,1,1,-0.643,0.52,1.5,0.134,"Thymidine kinase"
"TYMS",0,1,1,0.228,0.819,-0.0443,0.965,"TS"
"CHEBI:18261",0,1,1,0.157,0.875,-1.74,0.0819,"3-ureidopropionate"
"CHEBI:27468",0,1,1,-0.283,0.777,1.07,0.286,"5,6-dihydrothymine"
"CHEBI:18367",0,1,1,0.551,0.581,-0.0516,0.959,"phosphate"
"CHEBI:16958",0,1,1,-0.124,0.901,0.0413,0.967,"beta-alanine"
