"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","annot"
"ENPP7",5.27,0.0218,0.934,2.02,0.0435,2.32,0.0201,"ENPP7"
"ARSA",0.00616,0.937,0.949,-1.53,0.125,2.67,0.00754,"Arylsulfatase A"
"CHEBI:18132",0.104,0.747,0.902,2.41,0.0159,-0.665,0.506,"choline phosphate"
"CHEBI:16189",0.167,0.683,0.894,1.63,0.104,-0.477,0.634,"sulfate*"
"CHEBI:17553",0.105,0.746,0.902,1.46,0.143,-0.663,0.507,"phosphoethanolamine"
"CHEBI:17115",0.429,0.513,0.887,-1.14,0.253,0.0315,0.975,"serine"
"SPHK2",0.283,0.595,0.934,0.494,0.622,-0.24,0.81,"SPHK2"
"CHEBI:16393",0.426,0.514,0.887,0.802,0.422,-0.0354,0.972,"sphingosine"
"CHEBI:18367",0.413,0.521,0.887,0.551,0.581,-0.0516,0.959,"phosphate"
"CHEBI:16566",0.445,0.505,0.887,-0.131,0.896,0.0119,0.991,"sphinganine"
