"","RYGBvsDWMat0mo.logFC","RYGBvsDWMat3mo.logFC","RYGBvsDWMat12mo.logFC","RYGBvsDWMat36mo.logFC","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","CHEMICAL_ID","RI","MASS","CAS","PUBCHEM","CHEMSPIDER","KEGG","HMDB","CHEBI"
"C35127",-0.267,0.765,0.882,0.597,"pro-hydroxy-pro","Amino Acid","Urea cycle; Arginine and Proline Metabolism",35127,"LC/MS Pos Early",100001167,2128,229.11829,"18684-24-7","11673055",9847785,"","HMDB06695",""
"C33969",0.368,-0.352,-0.427,-0.41,"stearidonate (18:4n3)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",33969,"LC/MS Neg",100001229,5395,275.20165,"111174-40-4","5312508",4471933,"C16300","HMDB06547","CHEBI:32389"
"C43374",-0.809,0.258,0.788,0.319,"indolin-2-one","Xenobiotics","Food Component/Plant",43374,"LC/MS Pos Early",100004318,2575,134.06004,"59-48-3","321710",284794,"C12312","","CHEBI:31697"
"C15679",-0.25,-2,-1.1,-0.894,"xanthurenate","Amino Acid","Tryptophan Metabolism",15679,"LC/MS Pos Early",100000015,2236,206.04479,"59-007","5699",5497,"C02470","HMDB00881","CHEBI:10072"
"C34407",-0.262,-1.16,-0.826,-0.726,"isovalerylcarnitine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",34407,"LC/MS Pos Early",100001393,3085,246.16999,"31023-24-2","6426851",4932271,"","HMDB00688","CHEBI:73025"
"C44876",0.0981,-0.961,-0.81,-0.479,"gamma-CEHC","Cofactors and Vitamins","Tocopherol Metabolism",44876,"LC/MS Neg",100002094,3843,263.12888,"178167-75-4","133098",117455,"","HMDB01931",""
"C42381",0.203,-1.59,-1.38,-0.768,"gamma-CEHC glucuronide*","Cofactors and Vitamins","Tocopherol Metabolism",42381,"LC/MS Neg",100004243,2500,439.16097,"","",NA,"","",""
"C40406",-0.611,0.608,0.627,-0.387,"trimethylamine N-oxide","Lipid","Phospholipid Metabolism",40406,"LC/MS Pos Early",100003397,2100,76.07569,"1184-78-7","1145",1113,"C01104","HMDB00925","CHEBI:15724"
"C52925",-0.0954,1.28,1.79,0.237,"phenylacetylglutamate","Amino Acid","Phenylalanine and Tyrosine Metabolism",52925,"LC/MS Pos Early",100009045,2357,266.1023,"","11579826",9754592,"","HMDB59772",""
"C35126",-0.153,0.784,1.13,0.374,"phenylacetylglutamine","Amino Acid","Phenylalanine and Tyrosine Metabolism",35126,"LC/MS Pos Early",100001417,2145,265.11829,"28047-15-6","92258",270643,"C04148","HMDB06344","CHEBI:17884"
"C42489",-0.4,0.452,0.589,0.509,"2-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",42489,"LC/MS Neg",100004089,4840,187.13396,"5393-81-7","21488",20195,"","",""
"C52974",0.268,1.06,1.74,2.07,"glycochenodeoxycholate sulfate","Lipid","Primary Bile Acid Metabolism",52974,"LC/MS Neg",100006641,4820,263.62819,"","",NA,"","",""
"C15506",0.0335,-0.624,-0.367,-0.406,"choline","Lipid","Phospholipid Metabolism",15506,"LC/MS Pos Early",1256,1961,104.10699,"67-48-1","305",149278,"C00114","HMDB00097","CHEBI:15354"
"C1549",-0.0102,-3.23,-0.917,-0.72,"3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1549,"LC/MS Polar",111,1619.1,103.04007,"2068-83-9","87",10140307,"C06001","HMDB00336","CHEBI:37373"
"C1806",-0.288,-0.884,-0.533,-0.347,"retinol (Vitamin A)","Cofactors and Vitamins","Vitamin A Metabolism",1806,"LC/MS Pos Late",498,1636,269.22639,"68-26-8","445354",393012,"C00473","HMDB00305","CHEBI:17336"
"C1417",-0.122,-0.873,-0.589,-0.464,"kynurenate","Amino Acid","Tryptophan Metabolism",1417,"LC/MS Neg",98,2224,188.03531,"492-27-3","3845",3712,"C01717","HMDB00715","CHEBI:18344"
"C32452",-0.271,-0.874,-0.649,-0.476,"propionylcarnitine","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",32452,"LC/MS Pos Early",100001162,2590,218.13869,"17298-37-2","107738",96904,"C03017","HMDB00824","CHEBI:28867"
"C27710",-0.0179,0.2,0.855,0.957,"N-acetylglycine","Amino Acid","Glycine, Serine and Threonine Metabolism",27710,"LC/MS Neg",100001006,731,116.03531,"543-24-8","10972",10507,"","HMDB00532",""
"C40730",-0.666,1.73,0.63,0.0581,"imidazole propionate","Amino Acid","Histidine Metabolism",40730,"LC/MS Pos Early",100003434,2263,141.06586,"1074-59-5","70630",63798,"","HMDB02271",""
"C2132",-0.21,-0.0929,0.61,0.358,"citrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",2132,"LC/MS Pos Early",391,1520,176.10297,"372-75-8","9750",810,"C00327","HMDB00904","CHEBI:16349"
"C27718",0.1,-0.531,-0.244,-0.105,"creatine","Amino Acid","Creatine Metabolism",27718,"LC/MS Pos Early",1221,1947,132.07676,"57-00-1","586",566,"C00300","HMDB00064","CHEBI:16919"
"C42448",-0.275,-1.45,-0.916,-0.884,"1-stearoyl-2-oleoyl-GPE (18:0/18:1)","Lipid","Phospholipid Metabolism",42448,"LC/MS Pos Late",100001856,2858,746.56944,"","",NA,"","",""
"C1587",-0.247,-0.949,-0.564,-0.328,"N-acetylleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1587,"LC/MS Neg",1082,2400,172.09791,"1188-21-2","70912",64075,"C02710","HMDB11756",""
"C43266",-0.401,-2.52,-0.594,-1.84,"2-aminophenol sulfate","Xenobiotics","Chemical",43266,"LC/MS Neg",100004322,1677,188.0023,"","181670",158022,"","HMDB61116",""
"C35482",0.102,-0.985,-0.267,-0.42,"2-methylmalonyl carnitine","Lipid","Fatty Acid Synthesis",35482,"LC/MS Pos Early",100001596,2440,262.12852,"149181-64-6","53481628",21403178,"","HMDB13133",""
"C42574",-0.0596,0.514,2.33,1.06,"glycohyocholate","Lipid","Secondary Bile Acid Metabolism",42574,"LC/MS Neg",100004083,5020,464.30176,"","",NA,"","",""
"C43530",0.0518,1.49,0.664,1.03,"N-acetyl-cadaverine","Amino Acid","Lysine Metabolism",43530,"LC/MS Pos Early",100002249,2385,145.13354,"32343-73-0","",NA,"","",""
"C12129",-0.197,-0.903,-0.569,-0.327,"beta-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",12129,"LC/MS Neg",1442,1027,117.05572,"625-08-1","69362",62571,"","HMDB00754","CHEBI:37084"
"C34035",0.267,-0.108,-0.418,-0.135,"linolenate [alpha or gamma; (18:3n3 or 6)]","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",34035,"LC/MS Neg",100001337,5450,277.2173,"","5280934",4444437,"C06426","HMDB03073","CHEBI:28661"
"C15443",0.16,-0.469,-0.205,0.183,"glucuronate","Carbohydrate","Aminosugar Metabolism",15443,"LC/MS Polar",100000257,3233.3,193.03537,"207300-70-7","444791",58552,"C00191","HMDB00127","CHEBI:47953"
"C48580",0.203,-1.42,-0.15,-1.92,"2-acetamidophenol sulfate","Xenobiotics","Drug",48580,"LC/MS Neg",100006190,2251,230.01286,"40712-60-5","181671",158023,"","",""
"C39346",-0.286,-1.89,-0.919,0.336,"alpha-CEHC glucuronide*","Cofactors and Vitamins","Tocopherol Metabolism",39346,"LC/MS Neg",100003101,2616,453.17662,"477200-36-5","",NA,"","",""
"C38306",0.844,-1.17,-4,-5.51,"metformin","Xenobiotics","Drug",38306,"LC/MS Pos Early",100002405,2817,130.10873,"1115-70-4","4091",3949,"C07151","HMDB01921","CHEBI:6801"
"C542",0.336,1.98,0.637,0.894,"3-hydroxybutyrate (BHBA)","Lipid","Ketone Bodies",542,"LC/MS Polar",254,1443.3,103.04007,"625-72-9","441",428,"C01089","HMDB00357","CHEBI:20067"
"C48428",-0.293,-2.32,-0.692,-1.21,"pyrraline","Xenobiotics","Food Component/Plant",48428,"LC/MS Neg",100001767,2304,253.11938,"74509-14-1","",19980286,"","",""
"C40703",-0.13,-2.24,-0.245,-0.953,"prolylglycine","Peptide","Dipeptide",40703,"LC/MS Pos Early",100003674,2136,173.09207,"2578-57-6","7408076;6426709",4932143,"","","CHEBI:73594"
"C52603",-0.242,-1.13,-0.13,0.36,"1,2-dilinoleoyl-GPC (18:2/18:2)","Lipid","Phospholipid Metabolism",52603,"LC/MS Pos Late",100008903,2006,782.56944,"998-06-1","5288075",4450312,"","","CHEBI:42027"
"C40473",-0.57,-1.42,-0.809,-0.733,"hydantoin-5-propionic acid","Amino Acid","Histidine Metabolism",40473,"LC/MS Polar",100002514,2080,171.04113,"5624-26-0","782",761,"C05565","HMDB01212",""
"C38100",0.607,-2.47,0.47,-0.181,"betonicine","Xenobiotics","Food Component/Plant",38100,"LC/MS Pos Early",100002153,1012,160.09682,"515-25-3","164642",144333,"C08269","HMDB29412",""
"C36098",-0.587,-2.83,0.228,-1.29,"4-vinylphenol sulfate","Xenobiotics","Benzoate Metabolism",36098,"LC/MS Neg",100001755,3320,199.00705,"2628-17-3","6426766",4932200,"C05627","HMDB04072",""
"C39379",0.185,2.38,-0.786,-1.1,"glycoursodeoxycholate","Lipid","Secondary Bile Acid Metabolism",39379,"LC/MS Neg",100002911,5033,448.30684,"64480-66-6","12310288",19973534,"","HMDB00708",""
"C43264",0.0763,1.16,-0.401,-0.156,"3-hydroxybutyrylcarnitine (1)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",43264,"LC/MS Pos Early",100003926,2400,248.14925,"","53481617",NA,"","HMDB13127",""
"C47153",0.572,1.85,-0.145,0.711,"sphingomyelin (d18:1/24:1, d18:2/24:0)*","Lipid","Sphingolipid Metabolism",47153,"LC/MS Pos Late",100005986,3033,813.68441,"94359-13-4","",24846874,"","",""
"C52677",-0.296,-1.09,-0.0147,0.136,"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","Lipid","Plasmalogen",52677,"LC/MS Pos Late",100009069,2351,700.52757,"","",24769229,"","",""
"C32984",0.0751,-0.531,0.0228,-0.00282,"N-alpha-acetylornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",32984,"LC/MS Pos Early",100000285,2000,175.10772,"1572591","439232",388369,"C00437","HMDB03357","CHEBI:16543"
"C19265",0.246,-1.18,-0.207,-0.246,"1-stearoyl-2-oleoyl-GPS (18:0/18:1)","Lipid","Phosphatidylserine (PS)",19265,"LC/MS Pos Late",100000639,3000,790.55926,"","9547087",7826037,"","",""
"C47666",-0.102,-1.6,-1.28,0.899,"alpha-CEHC sulfate","Cofactors and Vitamins","Tocopherol Metabolism",47666,"LC/MS Neg",100005972,3090,357.10134,"","",NA,"","",""
"C37184",0.841,0.00675,0.387,0.637,"5alpha-androstan-3alpha,17beta-diol disulfate","Lipid","Steroid",37184,"LC/MS Neg",100002017,4275,225.06965,"","",NA,"","",""
"C53176",-0.212,-1.72,-0.422,0.553,"1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*","Lipid","Phospholipid Metabolism",53176,"LC/MS Pos Late",100009343,1939,780.55378,"","",24766802,"","",""
"C22001",0.31,0.352,-0.447,-0.169,"3-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy",22001,"LC/MS Neg",100000773,3446,159.10266,"88930-08-9","26613",24791,"","HMDB01954","CHEBI:37098"
"C33009",-0.226,-0.982,-0.227,-0.599,"homostachydrine*","Xenobiotics","Food Component/Plant",33009,"LC/MS Pos Early",100001550,1750,158.11756,"1195-94-4","441447",390180,"C08283","HMDB33433",""
"C47101",-0.135,-0.72,0.014,-0.499,"N-methylpipecolate","Xenobiotics","Chemical",47101,"LC/MS Pos Early",100005383,1932,144.10191,"41447-17-0","11862129;11286529",9461516,"","",""
"C32197",-0.0468,-0.447,-0.599,-0.531,"3-(4-hydroxyphenyl)lactate","Amino Acid","Phenylalanine and Tyrosine Metabolism",32197,"LC/MS Neg",240,1379,181.05063,"6482-98-0","9378",9010,"C03672","HMDB00755",""
"C46225",-0.468,0.317,1.01,0.578,"pyroglutamine*","Amino Acid","Glutamate Metabolism",46225,"LC/MS Pos Early",100001540,1900,129.06586,"2353-44-8","134508",118562,"","",""
"C27672",-0.748,-0.0969,0.166,-0.0192,"3-indoxyl sulfate","Amino Acid","Tryptophan Metabolism",27672,"LC/MS Neg",100000467,2222.2,212.0023,"2642-37-7","10258",9840,"","HMDB00682","CHEBI:43355"
"C18467",0.476,-0.127,-0.366,-0.431,"eicosapentaenoate (EPA; 20:5n3)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",18467,"LC/MS Neg",2050,5450,301.2173,"10-2005-9;10417-94-4","446284",393682,"C06428","HMDB01999","CHEBI:28364"
"C48698",-0.832,-0.128,0.0965,-0.0609,"6-hydroxyindole sulfate","Xenobiotics","Chemical",48698,"LC/MS Neg",100006260,2498,212.0023,"","",NA,"","",""
"C48441",0.16,-0.00535,-0.439,-0.491,"4-hydroxychlorothalonil","Xenobiotics","Chemical",48441,"LC/MS Neg",100006082,4427,244.90817,"28343-61-5","34217",31530,"","",""
"C52453",-0.138,-0.466,0.185,0.571,"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*","Lipid","Phospholipid Metabolism",52453,"LC/MS Pos Late",100008981,2165,784.58509,"","",NA,"","",""
"C43255",-0.945,-1.02,-0.0935,0.188,"N-acetyl-1-methylhistidine*","Amino Acid","Histidine Metabolism",43255,"LC/MS Pos Early",100004299,2100,212.1028,"","",NA,"","",""
"C37211",0.0856,-0.389,-0.758,-0.189,"4-androsten-3beta,17beta-diol monosulfate (1)","Lipid","Steroid",37211,"LC/MS Neg",100002028,4500,369.17411,"521-17-5","",NA,"","HMDB03818","CHEBI:2710"
"C37192",0.361,-0.205,-0.658,-0.523,"5alpha-androstan-3beta,17beta-diol monosulfate (2)","Lipid","Steroid",37192,"LC/MS Neg",100002024,4685,371.18976,"","",NA,"","",""
"C37186",0.334,-0.282,-0.764,-0.477,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)","Lipid","Steroid",37186,"LC/MS Neg",100002018,4925,371.18976,"","",NA,"","",""
"C41220",-0.291,-0.232,-0.105,0.171,"2-stearoyl-GPE (18:0)*","Lipid","Lysolipid",41220,"LC/MS Neg",100003901,6350,480.30956,"","",24769218,"","",""
"C52281",-0.00206,-0.166,-0.761,-0.492,"2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",52281,"LC/MS Polar",100008928,1258,103.04006,"","",NA,"","",""
"C37207",0.115,-0.344,-0.935,-0.241,"4-androsten-3alpha,17alpha-diol monosulfate (2)","Lipid","Steroid",37207,"LC/MS Neg",100002026,4712,369.17411,"","",NA,"","",""
"C15958",0.359,1.7,2.02,0.98,"phenylacetate","Amino Acid","Phenylalanine and Tyrosine Metabolism",15958,"LC/MS Neg",100000011,2150,135.04515,"103-82-2","999",10181341,"C07086","HMDB00209","CHEBI:30745"
"C15749",-1.55,-0.219,0.857,0.8,"3-phenylpropionate (hydrocinnamate)","Amino Acid","Phenylalanine and Tyrosine Metabolism",15749,"LC/MS Neg",100000010,2860,149.0608,"501-52-0","107",10181339,"C05629","HMDB00764",""
"C1512",-0.119,-1.26,-0.663,-0.669,"picolinate","Amino Acid","Tryptophan Metabolism",1512,"LC/MS Pos Early",1022,910,124.03931,"98-98-6","1018",993,"C10164","HMDB02243","CHEBI:28747"
"C32390",-0.0479,-0.902,-0.511,-0.39,"N-acetyltyrosine","Amino Acid","Phenylalanine and Tyrosine Metabolism",32390,"LC/MS Neg",100001104,1680,222.07718,"537-55-3","68310",61606,"","HMDB00866",""
"C32553",-0.346,0.641,0.189,0.558,"phenol sulfate","Amino Acid","Phenylalanine and Tyrosine Metabolism",32553,"LC/MS Neg",100001510,2156,172.9914,"937-34-8","74426",67018,"C02180","HMDB60015","CHEBI:27905"
"C45951",-0.211,-0.888,-0.436,-0.217,"1-linolenoyl-GPC (18:3)*","Lipid","Lysolipid",45951,"LC/MS Pos Late",100005350,1422,518.32412,"","",NA,"","",""
"C38637",-1.19,-0.241,1.15,1.36,"cinnamoylglycine","Xenobiotics","Food Component/Plant",38637,"LC/MS Neg",100002253,3127,204.06661,"16534-24-0","709625",618829,"","HMDB11621",""
"C48841",-0.315,0.91,1.85,-0.213,"p-cresol-glucuronide*","Amino Acid","Phenylalanine and Tyrosine Metabolism",48841,"LC/MS Neg",100006191,2420,283.08232,"17680-99-8","154035",135751,"","HMDB11686",""
"C36103",-0.299,0.314,1.17,-0.11,"p-cresol sulfate","Amino Acid","Phenylalanine and Tyrosine Metabolism",36103,"LC/MS Neg",100001315,2890,187.00705,"3233-57-7","4615423",3806480,"C01468","HMDB11635","CHEBI:82914"
"C21134",-0.0868,0.763,0.306,0.704,"adipate","Lipid","Fatty Acid, Dicarboxylate",21134,"LC/MS Polar",100000863,3000,145.05063,"124-04-9","196",191,"C06104","HMDB00448","CHEBI:30832"
"C48434",-0.648,-1.44,-0.875,-0.025,"N-acetylcitrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",48434,"LC/MS Neg",100001577,940,216.09898,"33965-42-3","656979",571213,"C15532","HMDB00856",""
"C22053",0.174,0.0502,-0.441,-0.19,"3-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",22053,"LC/MS Neg",100000997,4634.7,187.13396,"5561-87-5","26612",24790,"","HMDB02203",""
"C33947",-0.101,-0.778,-0.206,0.0778,"gamma-glutamyltryptophan","Peptide","Gamma-glutamyl Amino Acid",33947,"LC/MS Neg",100001295,1960,332.12519,"66471-20-3","3989307",2302065,"","HMDB29160",""
