"","RYGBvsDWMat3mo.sig","RYGBvsDWMat12mo.sig","RYGBvsDWMat24mo.sig","RYGBvsDWMat36mo.sig","SeqId","SomaId","TargetFullName","Target","UniProt","EntrezGeneID","EntrezGeneSymbol"
"SL004660",1,1,1,1,"3415-61_2","SL004660","Bone sialoprotein 2","BSP","P21815","3381","IBSP"
"SL000466",1,1,1,1,"2570-72_5","SL000466","Insulin-like growth factor-binding protein 2","IGFBP-2","P18065","3485","IGFBP2"
"SL005102",1,1,1,1,"4929-55_1","SL005102","Sex hormone-binding globulin","SHBG","P04278","6462","SHBG"
"SL005168",-1,-1,-1,-1,"2948-58_2","SL005168","Growth hormone receptor","Growth hormone receptor","P10912","2690","GHR"
"SL008574",0,1,1,1,"5358-3_3","SL008574","Osteomodulin","OMD","Q99983","4958","OMD"
"SL010458",1,1,1,0,"3805-16_2","SL010458","Endothelial cell-specific molecule 1","Endocan","Q9NQ30","11082","ESM1"
"SL000462",0,1,1,1,"2771-35_2","SL000462","Insulin-like growth factor-binding protein 1","IGFBP-1","P08833","3484","IGFBP1"
"SL000415",0,-1,-1,-1,"4159-130_1","SL000415","Complement factor H","Factor H","P08603","3075","CFH"
"SL000311",0,-1,-1,-1,"3590-8_3","SL000311","Complement C1s subcomponent","C1s","P09871","716","C1S"
"SL000522",1,1,1,0,"4496-60_2","SL000522","Macrophage metalloelastase","MMP-12","P39900","4321","MMP12"
"SL000320",0,-1,-1,-1,"2851-63_3","SL000320","C5a anaphylatoxin","C5a","P01031","727","C5"
"SL004258",0,1,1,1,"3554-24_1","SL004258","Adiponectin","Adiponectin","Q15848","9370","ADIPOQ"
"SL000414",0,-1,-1,-1,"4129-72_1","SL000414","Complement factor B","Factor B","P00751","629","CFB"
"SL006694",-1,-1,0,0,"3604-6_4","SL006694","Beta-Ala-His dipeptidase","CNDP1","Q96KN2","84735","CNDP1"
"SL000573",0,-1,-1,0,"2474-54_5","SL000573","Serum amyloid P-component","SAP","P02743","325","APCS"
"SL000498",0,-1,-1,0,"2575-5_5","SL000498","Leptin","Leptin","P41159","3952","LEP"
"SL003328",0,-1,0,-1,"2567-5_6","SL003328","Complement factor I","Factor I","P05156","3426","CFI"
"SL004712",0,1,1,0,"3516-60_2","SL004712","Stromal cell-derived factor 1","SDF-1","P48061","6387","CXCL12"
"SL000250",0,-1,-1,0,"3024-18_2","SL000250","Alpha-2-antiplasmin","a2-Antiplasmin","P08697","5345","SERPINF2"
"SL000021",0,-1,0,-1,"4883-56_2","SL000021","Insulin","Insulin","P01308","3630","INS"
"SL000051",0,-1,0,-1,"4337-49_2","SL000051","C-reactive protein","CRP","P02741","1401","CRP"
"SL004466",0,-1,0,0,"3316-58_1","SL004466","Heparin cofactor 2","Heparin cofactor II","P05546","3053","SERPIND1"
"SL004337",0,0,0,1,"2762-30_2","SL004337","Fibroblast growth factor 19","FGF-19","O95750","9965","FGF19"
"SL014289",0,0,0,-1,"5097-14_3","SL014289","Killer cell immunoglobulin-like receptor 3DS1","KI3S1","Q14943","3813","KIR3DS1"
"SL018548",1,0,0,0,"4153-11_2","SL018548","Alpha-1-antichymotrypsin complex","alpha-1-antichymotrypsin complex","P01011","","SERPINA3"
"SL003324",0,-1,0,0,"3077-66_2","SL003324","Coagulation factor Xa","Coagulation Factor Xa","P00742","2159","F10"
"SL000383",0,-1,0,0,"2670-67_4","SL000383","Creatine kinase M-type","CK-MM","P06732","1158","CKM"
"SL004652",0,1,0,0,"2848-2_2","SL004652","Wnt inhibitory factor 1","WIF-1","Q9Y5W5","11197","WIF1"
"SL004120",0,0,0,1,"3606-2_5","SL004120","Discoidin domain-containing receptor 2","Discoidin domain receptor 2","Q16832","4921","DDR2"
"SL000249",1,0,0,0,"3580-25_8","SL000249","Alpha-1-antitrypsin","a1-Antitrypsin","P01009","5265","SERPINA1"
"SL003187",1,0,0,0,"3508-78_3","SL003187","C-C motif chemokine 22","MDC","O00626","6367","CCL22"
"SL000360",0,-1,0,0,"4878-3_1","SL000360","Coagulation Factor X","Coagulation Factor X","P00742","2159","F10"
"SL010375",-1,0,0,0,"3212-30_3","SL010375","Neutral ceramidase","ASAH2","Q9NR71","56624","ASAH2"
"SL001998",0,-1,0,0,"3336-50_1","SL001998","Tissue factor pathway inhibitor","TFPI","P10646","7035","TFPI"
"SL010457",0,0,1,0,"3305-6_1","SL010457","Delta-like protein 4","DLL4","Q9NR61","54567","DLL4"
