"","RYGBvsDWMat0mo.logFC","RYGBvsDWMat3mo.logFC","RYGBvsDWMat12mo.logFC","RYGBvsDWMat24mo.logFC","RYGBvsDWMat36mo.logFC"
"IBSP",0.0366,0.811,1.19,1.12,0.86
"OMD",0.058,0.397,0.897,0.799,0.689
"CFB",0.193,0.18,0.0094,-0.0335,-0.118
"IGFBP2",0.0247,0.672,1.15,1.09,1.13
"ESM1",0.115,0.549,0.557,0.652,0.497
"SHBG",0.268,0.901,1.08,0.911,1.09
"GHR",0.148,-0.256,-0.486,-0.213,-0.366
"MMP12",-0.137,0.793,0.595,0.761,0.808
"CNDP1",0.147,-0.671,-0.438,-0.24,-0.538
"IGFBP1",0.00615,0.272,0.864,1.08,1.06
"CFH",0.0777,0.00707,-0.0747,-0.0992,-0.137
"C1S",0.0521,0.0285,-0.094,-0.12,-0.137
"C5",0.0642,-0.119,-0.391,-0.712,-0.61
"ADIPOQ",0.309,0.375,0.778,0.957,0.826
"APCS",-0.0295,-0.293,-0.479,-0.424,-0.366
"LEP",0.246,-0.00073,-0.925,-0.647,-0.412
"CFI",0.0543,-0.0836,-0.13,-0.0917,-0.187
"SERPIND1",0.0676,-0.123,-0.229,-0.124,-0.2
"FGF19",-0.135,0.454,0.619,0.964,1.7
"CXCL12",-0.124,0.121,0.214,0.139,-0.00681
"SERPINF2",0.0191,-0.128,-0.163,-0.0718,-0.0997
"KIR3DS1",0.133,0.00148,-0.0349,-0.0886,-0.222
"INS",0.033,-0.159,-1.04,-0.456,-1.04
"SERPINA3",0.0189,0.41,0.284,0.206,0.0364
"CRP",0.0431,0.0276,-1.02,-0.91,-1.4
"CCL22",0.0521,0.623,0.237,0.384,0.143
"IGHD",-0.188,-0.242,-0.274,-0.816,-0.786
"FETUB",0.0237,-0.258,0.0041,-0.0777,-0.0848
"RARRES2",-0.119,-0.186,-0.148,-0.371,-0.066
"F10",0.0984,-0.0947,-0.193,0.0245,-0.193
"CKM",-0.0683,-0.528,-0.77,-0.612,-0.415
"WIF1",-0.00223,0.224,0.352,0.394,0.294
"DDR2",-0.0975,0.00535,0.0553,0.0506,0.0563
"SERPINA1",0.00545,0.328,0.126,0.0947,-0.161
"F10",0.0446,-0.137,-0.187,-0.0181,-0.165
"ASAH2",-0.321,-0.956,-0.844,-0.583,-1.04
"TFPI",0.00243,-0.103,-0.281,-0.0989,-0.257
"DLL4",0.102,0.1,0.288,0.345,0.215
"GSTP1",0.126,0.11,0.36,0.186,0.435
"CD84",0.0222,0.114,0.263,0.225,0.311
"ECE1",-0.0164,-0.0678,-0.156,-0.14,-0.351
"TYK2",0.0625,-0.0994,-0.162,-0.547,-0.181
"PROS1",0.0231,-0.033,-0.16,-0.0751,-0.111
"CD48",0.0802,0.234,0.213,0.391,0.201
"ADAMTS15",-0.0371,-0.167,-0.124,-0.398,-0.0886
"SIGLEC1",-0.101,-0.181,-0.276,-0.237,-0.207
"STX1A",-0.0297,-0.098,0.0404,-0.0717,-0.0816
"CD36",0.206,0.14,0.013,-0.0922,0.11
"ERP29",-0.00147,-0.0627,-0.00556,-0.33,0.0836
"CFL1",-0.197,-0.298,-0.076,-0.236,0.612
"SNRPF",-0.0746,-0.0329,-0.0262,-0.083,0.101
"CA6",-0.151,-0.687,-0.242,0.261,0.0893
"GPNMB",-0.00598,0.34,0.15,0.176,-0.00699
"CD70",0.011,-0.00968,-0.0126,-0.219,-0.0319
"BIRC5",-0.0477,0.0334,-0.0152,-0.287,-0.0404
"ABL1",-0.113,-0.178,-0.203,-0.42,-0.186
