"","ADIPOQ","FGF19","SHBG","IGFBP2","IBSP","MMP12","IGFBP1","OMD","CFL1","CKM","CRP","C5","INS","LEP","TYK2","IGHD;;IGK@;IGL@","ASAH2","CNDP1","GHR"
"indolin-2-one",0.353,0.387,0.327,0.358,0.443,0.469,0.187,0.321,0.0278,-0.138,-0.0632,0.0244,0.138,0.033,-0.268,-0.0381,-0.179,-0.327,-0.269
"3-indoxyl sulfate",0.371,0.289,0.409,0.348,0.571,0.557,0.258,0.53,-0.119,-0.128,-0.119,0.0824,0.214,0.111,-0.183,0.0823,0.0836,-0.0651,-0.126
"6-hydroxyindole sulfate",0.344,0.316,0.4,0.359,0.584,0.586,0.252,0.526,-0.106,-0.0956,-0.108,0.0777,0.168,0.0916,-0.181,0.0501,0.0554,-0.0851,-0.161
"p-cresol-glucuronide*",0.173,0.168,0.294,0.137,0.164,0.232,0.0177,-0.0538,0.114,-0.0794,-0.348,-0.157,-0.0898,-0.145,-0.0961,-0.219,-0.236,-0.358,-0.402
"p-cresol sulfate",0.241,0.348,0.299,0.272,0.29,0.324,0.0686,0.151,0.0893,-0.106,-0.397,-0.00231,0.054,0.00367,-0.296,-0.26,-0.167,-0.323,-0.473
"phenylacetylglutamate",0.425,0.348,0.406,0.341,0.373,0.443,0.0153,0.134,0.284,-0.136,-0.162,0.037,-0.122,-0.115,-0.38,-0.213,-0.321,-0.387,-0.37
"phenylacetylglutamine",0.379,0.384,0.462,0.348,0.441,0.499,0.165,0.241,-0.00736,-0.237,-0.21,0.0461,-0.107,-0.0944,-0.187,-0.128,-0.285,-0.37,-0.381
"2-hydroxydecanoate",0.301,-0.0249,0.195,0.249,0.37,0.195,-0.00125,0.307,0.166,-0.244,0.00359,-0.186,-0.126,-0.199,-0.231,-0.122,-0.296,-0.515,-0.372
"pro-hydroxy-pro",0.394,0.486,0.552,0.692,0.755,0.615,0.32,0.521,-0.000526,-0.487,-0.29,0.0943,0.0554,-0.0856,-0.433,-0.315,-0.396,-0.653,-0.681
"pyroglutamine*",0.0879,0.405,0.566,0.579,0.561,0.465,0.193,0.36,-0.0346,-0.28,-0.124,0.441,0.0797,-0.122,-0.443,-0.336,-0.113,-0.327,-0.394
"adipate",-0.0514,0.162,0.379,0.345,0.433,0.353,0.15,0.146,-0.314,-0.287,-0.21,-0.152,-0.0863,-0.145,0.0165,-0.173,-0.237,-0.42,-0.418
"glycoursodeoxycholate",-0.0767,0.133,0.435,0.413,0.303,0.161,0.103,0.296,-0.118,-0.158,0.0771,-0.235,-0.3,-0.211,0.0285,-0.0241,-0.146,-0.334,-0.202
"imidazole propionate",0.0611,0.253,0.37,0.443,0.427,0.365,0.253,0.121,-0.161,-0.305,0.17,0.0177,-0.241,-0.169,0.053,-0.162,-0.399,-0.442,-0.284
"phenol sulfate",0.179,0.138,0.32,0.339,0.426,0.291,-0.0537,0.29,-0.246,-0.0309,-0.0344,-0.1,-0.2,-0.132,0.163,0.147,-0.164,-0.419,-0.196
"phenylacetate",0.0574,0.164,0.216,0.238,0.318,0.234,0.0456,-0.104,-0.151,-0.272,-0.0941,-0.258,-0.153,-0.199,0.0644,-0.157,-0.331,-0.377,-0.449
"3-hydroxybutyrate (BHBA)",-0.0943,0.203,0.291,0.245,0.228,0.259,0.215,-0.221,-0.19,-0.219,0.171,-0.0338,-0.101,-0.309,-0.0146,-0.0821,-0.497,-0.342,-0.366
"3-hydroxybutyrylcarnitine (1)",-0.115,0.237,0.318,0.272,0.227,0.357,0.211,-0.284,-0.187,-0.164,0.19,-0.0231,-0.183,-0.279,-0.00581,-0.0947,-0.399,-0.259,-0.32
"trimethylamine N-oxide",0.0963,0.183,0.428,0.382,0.351,0.33,0.297,0.184,-0.0262,-0.169,0.00531,-0.193,-0.0566,-0.386,-0.0651,-0.11,-0.315,-0.501,-0.383
"N-acetyl-cadaverine",0.0368,-0.0471,0.431,0.202,0.348,0.401,0.169,0.133,-0.0472,-0.191,-0.168,-0.206,0.104,-0.167,0.104,0.0603,-0.0339,-0.28,-0.102
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.282,0.209,0.442,0.291,0.454,0.569,0.019,0.145,-0.0925,-0.286,0.152,0.13,0.209,0.0633,-0.271,0.163,0.0781,-0.0747,-0.047
"N-acetylglycine",0.233,0.00131,0.173,0.0337,0.0547,0.116,0.00739,0.134,-0.171,0.0869,0.197,0.0108,-0.0499,-0.196,-0.0769,0.445,-0.0235,-0.038,0.00176
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.171,0.00833,0.134,0.186,0.247,0.144,0.0543,0.215,-0.0491,-0.0881,-0.121,-0.141,0.295,-0.103,-0.185,0.0635,-0.125,-0.215,-0.18
"2-stearoyl-GPE (18:0)*",-0.048,0.0408,0.298,0.151,0.264,0.245,0.137,0.0631,-0.138,-0.111,0.0159,0.0911,0.0566,0.00677,-0.317,0.0521,0.19,0.0142,0.00762
"N-acetyl-1-methylhistidine*",-0.0591,0.17,0.0841,0.348,0.136,0.241,0.294,0.218,0.189,0.103,0.121,0.273,0.326,0.0706,-0.584,-0.275,-0.0575,0.0288,-0.195
"4-androsten-3alpha,17alpha-diol monosulfate (2)",0.0886,0.0763,-0.137,-0.0143,-0.101,-0.0452,-0.0673,0.155,-0.139,0.203,0.115,0.16,0.447,0.308,0.111,0.354,0.168,0.234,0.249
"metformin",0.0674,-0.178,-0.012,0.161,-0.0489,-0.0188,0.0835,-0.0284,-0.0944,0.0728,-0.0449,0.0386,0.0823,-0.137,0.169,0.0389,0.298,0.231,0.244
"3-hydroxydecanoate",-0.0686,-0.117,-0.011,0.136,-0.028,0.00654,0.0805,-0.121,-0.13,0.109,0.123,0.0243,0.16,-0.189,0.219,-0.0387,0.0669,0.0595,0.0583
"3-hydroxyoctanoate",-0.0307,-0.0476,0.129,0.274,0.0842,0.0938,0.19,-0.0736,-0.0558,0.0916,0.0925,-0.0284,0.121,-0.226,0.136,-0.0822,-0.0184,-0.0656,-0.0522
"2-hydroxybutyrate/2-hydroxyisobutyrate",-0.232,-0.123,-0.0991,-0.273,-0.224,-0.0397,0.0586,-0.351,-0.372,0.146,0.407,0.00366,-0.0271,-0.0185,0.316,0.307,0.145,0.432,0.33
"5alpha-androstan-3alpha,17beta-diol disulfate",0.0631,-0.135,0.221,-0.182,-0.334,-0.138,0.0728,-0.3,-0.172,0.163,0.0837,0.21,0.13,-0.0487,0.0596,0.31,0.446,0.412,0.48
