"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","annot"
"CHEBI:15971",0.98,0.322,0.905,3.19,0.00144,0.462,0.644,"histidine"
"CHEBI:32816",2.15,0.142,0.905,1.07,0.285,1.14,0.254,"pyruvate"
"CHEBI:30915",1.35,0.245,0.905,0.69,0.49,1.1,0.269,"alpha-ketoglutarate"
"CHEBI:15428",0.567,0.451,0.905,-1.04,0.297,-0.122,0.903,"glycine"
"CHEBI:18050",0.482,0.487,0.905,1.15,0.25,0.0316,0.975,"glutamine"
"CHEBI:16015",0.532,0.466,0.905,0.421,0.674,0.0861,0.931,"glutamate"
"CHEBI:16027",0,1,1,1.08,0.278,-1.82,0.0691,"adenosine 5'-monophosphate (AMP)"
"CHEBI:17053",0,1,1,1.23,0.219,-0.95,0.342,"aspartate"
"CHEBI:30817",0,1,1,1.87,0.0612,-0.404,0.687,"trans-urocanate"
"CHEBI:17196",0,1,1,2.77,0.00559,-0.0791,0.937,"asparagine"
"CHEBI:18367",0,1,1,0.551,0.581,-0.0516,0.959,"phosphate"
"CHEBI:17115",0,1,1,-1.14,0.253,0.0315,0.975,"serine"
