"","in_pwy","impact","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"ACP1",TRUE,0.842,0.372,-0.145,-1.32,0.196,0.543,NA
"CHEBI:16027",TRUE,0.698,0.401,-0.245,-1.21,0.233,0.543,"adenosine 5'-monophosphate (AMP)"
"CHEBI:18367",TRUE,0.361,0.0564,0.00988,-0.862,0.394,0.629,"phosphate"
"CHEBI:17594",TRUE,0.328,-0.372,0.204,0.928,0.36,0.601,"hydroquinone sulfate"
"CHEBI:15971",FALSE,0.106,-0.00316,-0.218,-4.69,3.83e-05,0.00377,"histidine"
"CHEBI:16742",FALSE,0.0749,0.0735,0.319,1.59,0.121,0.53,"orotate"
"CHEBI:17196",FALSE,0.0594,0.0664,-0.187,-3.58,0.000998,0.0474,"asparagine"
"CHEBI:32796",FALSE,0.0534,0.15,-0.213,-2.99,0.00504,0.154,"2-hydroxyglutarate"
"CHEBI:16919",FALSE,0.045,0.0132,-0.623,-4.34,0.000109,0.00941,"creatine"
"CHEBI:15741",FALSE,0.0447,0.105,-0.0698,-1.78,0.0837,0.478,"succinate"
"CHEBI:18132",FALSE,0.0433,0.0493,-0.514,-2.66,0.0117,0.244,"choline phosphate"
"CHEBI:32398",FALSE,0.0391,0.203,-0.0357,-1.74,0.0899,0.487,"glycerate"
"CHEBI:16977",FALSE,0.0363,-0.108,-0.354,-2.28,0.0286,0.345,"alanine"
"CHEBI:17712",FALSE,0.0362,-0.0866,-0.32,-1.96,0.0581,0.446,"xanthine"
"CXCL12",FALSE,0.0339,0.186,0.457,3.16,0.00317,0.101,NA
"CHEBI:17050",FALSE,0.0323,0.751,-0.384,-1.48,0.148,0.543,"3-phosphoglycerate"
"CKM",FALSE,0.0316,0.21,-0.255,-2.79,0.00831,0.206,NA
"CXCL8",FALSE,0.0267,-0.0627,0.166,2.3,0.0272,0.345,NA
"CSF1R",FALSE,0.0265,-0.111,-0.00139,1.78,0.0837,0.478,NA
"CHEBI:17553",FALSE,0.0249,0.216,-0.272,-1.68,0.102,0.505,"phosphoethanolamine"
"ACP5",FALSE,0.0228,-0.148,-0.00796,1.31,0.197,0.543,NA
"CHEBI:61988",FALSE,0.0228,0.841,-0.872,-1.92,0.0626,0.45,"maltotetraose"
"GOT1",FALSE,0.0219,-0.212,-0.0173,2.27,0.0291,0.345,NA
"CHEBI:17202",FALSE,0.0217,1.09,0.0119,-1.49,0.144,0.543,"inosine 5'-monophosphate (IMP)"
"CHEBI:30769",FALSE,0.0217,0.0845,0.227,2,0.0531,0.429,"citrate"
"CCL5",FALSE,0.0216,0.176,-0.447,-1.85,0.0725,0.466,NA
"CNDP1",FALSE,0.0212,-0.0851,-0.857,-5.93,8.66e-07,0.000298,NA
"CHEBI:15354",FALSE,0.0205,-0.105,-0.736,-6.13,4.68e-07,0.000251,"choline"
"CHEBI:16704",FALSE,0.0201,0.0164,-0.438,-4.86,2.29e-05,0.00256,"uridine"
"SERPIND1",FALSE,0.0196,-0.0885,-0.265,-2.88,0.0067,0.191,NA
"TNFRSF1A",FALSE,0.0178,-0.0399,0.0884,2.28,0.0289,0.345,NA
"PGK1",FALSE,0.0168,0.188,-0.219,-1.85,0.0723,0.466,NA
"FGG",FALSE,0.0165,0.0585,0.223,1.84,0.0746,0.471,NA
"DDR2",FALSE,0.0158,-0.0454,0.0663,2.17,0.0368,0.375,NA
"CHEBI:17561",FALSE,0.0153,-0.16,0.0238,2.04,0.0482,0.402,"cysteine"
"GAPDH",FALSE,0.0153,0.177,-0.237,-1.68,0.103,0.508,NA
"INSR",FALSE,0.0151,-0.331,0.0311,2.18,0.036,0.372,NA
"APCS",FALSE,0.0151,0.0762,-0.184,-3.56,0.00106,0.0476,NA
"IBSP",FALSE,0.0151,0.0485,0.842,6.08,5.47e-07,0.000251,NA
"ENTPD3",FALSE,0.0145,0.168,0.00581,-1.2,0.237,0.545,NA
"HSP90AA1",FALSE,0.0141,0.101,-0.336,-1.94,0.06,0.45,NA
